Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:39.116,1:37.305,1:36.975,15
2,2,Mark WebberWEB,Red Bull Racing Renault,1:39.956,1:38.058,1:37.163,19
3,3,Lewis HamiltonHAM,McLaren Mercedes,1:39.244,1:37.727,1:37.380,13
4,5,Fernando AlonsoALO,Ferrari,1:39.725,1:37.930,1:37.454,20
5,6,Felipe MassaMAS,Ferrari,1:38.413,1:38.566,1:37.535,20
6,4,Jenson ButtonBUT,McLaren Mercedes,1:39.453,1:37.749,1:37.645,14
7,8,Nico RosbergROS,Mercedes,1:39.266,1:38.373,1:38.231,15
8,7,Michael SchumacherMSC,Mercedes,1:39.198,1:38.365,1:38.240,18
9,9,Nick HeidfeldHEI,Renault,1:39.877,1:38.781,DNS,17
10,14,Adrian SutilSUT,Force India Mercedes,1:39.329,1:39.034,,14
11,10,Vitaly PetrovPET,Renault,1:39.690,1:39.068,,14
12,15,Paul di RestaDIR,Force India Mercedes,1:39.852,1:39.422,,16
13,11,Rubens BarrichelloBAR,Williams Cosworth,1:39.602,1:39.489,,19
14,16,Kamui KobayashiKOB,Sauber Ferrari,1:40.131,1:39.525,,17
15,12,Pastor MaldonadoMAL,Williams Cosworth,1:39.690,1:39.645,,10
16,17,Sergio PerezPER,Sauber Ferrari,1:39.494,1:39.657,,13
17,18,Sebastien BuemiBUE,STR Ferrari,1:39.679,1:39.711,,8
18,19,Jaime AlguersuariALG,STR Ferrari,1:40.232,,,5
19,20,Heikki KovalainenKOV,Lotus Renault,1:41.664,,,10
20,21,Jarno TrulliTRU,Lotus Renault,1:42.234,,,9
21,24,Timo GlockGLO,Virgin Cosworth,1:42.553,,,9
22,23,Vitantonio LiuzziLIU,HRT Cosworth,1:43.584,,,10
23,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:43.735,,,6
24,22,Narain KarthikeyanKAR,HRT Cosworth,1:44.363,,,9
