Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:27.039,1:25.610,1:25.049,12
2,2,Mark WebberWEB,Red Bull Racing Renault,1:27.090,1:26.075,1:25.454,10
3,8,Nico RosbergROS,Mercedes,1:27.514,1:25.801,1:25.574,15
4,3,Lewis HamiltonHAM,McLaren Mercedes,1:27.091,1:26.066,1:25.595,13
5,5,Fernando AlonsoALO,Ferrari,1:27.349,1:26.152,1:25.851,16
6,4,Jenson ButtonBUT,McLaren Mercedes,1:27.374,1:26.485,1:25.982,14
7,10,Vitaly PetrovPET,Renault,1:27.475,1:26.654,1:26.296,15
8,7,Michael SchumacherMSC,Mercedes,1:27.697,1:26.121,1:26.646,13
9,9,Nick HeidfeldHEI,Renault,1:27.901,1:26.740,1:26.659,13
10,6,Felipe MassaMAS,Ferrari,1:27.013,1:26.395,DNF,16
11,11,Rubens BarrichelloBAR,Williams Cosworth,1:28.246,1:26.764,,10
12,14,Adrian SutilSUT,Force India Mercedes,1:27.392,1:27.027,,14
13,15,Paul di RestaDIR,Force India Mercedes,1:27.625,1:27.145,,11
14,12,Pastor MaldonadoMAL,Williams Cosworth,1:27.396,1:27.236,,14
15,17,Sergio PerezPER,Sauber Ferrari,1:27.778,1:27.244,,11
16,18,Sebastien BuemiBUE,STR Ferrari,1:27.620,1:27.255,,9
17,19,Jaime AlguersuariALG,STR Ferrari,1:28.055,1:27.572,,7
18,20,Heikki KovalainenKOV,Lotus Renault,1:28.780,,,8
19,21,Jarno TrulliTRU,Lotus Renault,1:29.673,,,8
20,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:30.445,,,8
21,23,Vitantonio LiuzziLIU,HRT Cosworth,1:30.692,,,7
22,24,Timo GlockGLO,Virgin Cosworth,1:30.813,,,8
23,22,Narain KarthikeyanKAR,HRT Cosworth,1:31.564,,,8
NC,16,Kamui KobayashiKOB,Sauber Ferrari,DNF,,,2
