Pos,No,Driver,Car
1,63,George RussellRUS,Mercedes
2,44,Lewis HamiltonHAM,Mercedes
3,1,Max VerstappenVER,Red Bull Racing RBPT
4,11,Sergio PerezPER,Red Bull Racing RBPT
5,16,Charles LeclercLEC,Ferrari
6,4,Lando NorrisNOR,McLaren Mercedes
7,55,Carlos SainzSAI,Ferrari
8,20,Kevin MagnussenMAG,Haas Ferrari
9,5,Sebastian VettelVET,Aston Martin Aramco Mercedes
10,10,Pierre GaslyGAS,AlphaTauri RBPT
11,3,Daniel RicciardoRIC,McLaren Mercedes
12,47,Mick SchumacherMSC,Haas Ferrari
13,24,Zhou GuanyuZHO,Alfa Romeo Ferrari
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes
16,31,Esteban OconOCO,Alpine Renault
17,14,Fernando AlonsoALO,Alpine Renault
18,6,Nicholas LatifiLAT,Williams Mercedes
19,23,Alexander AlbonALB,Williams Mercedes
20,22,Yuki TsunodaTSU,AlphaTauri RBPT
