Pos,No,Driver,Car
1,1,Max VerstappenVER,Red Bull Racing RBPT
2,16,Charles LeclercLEC,Ferrari
3,55,Carlos SainzSAI,Ferrari
4,63,George RussellRUS,Mercedes
5,11,Sergio PerezPER,Red Bull Racing RBPT
6,31,Esteban OconOCO,Alpine Renault
7,20,Kevin MagnussenMAG,Haas Ferrari
8,44,Lewis HamiltonHAM,Mercedes
9,47,Mick SchumacherMSC,Haas Ferrari
10,4,Lando NorrisNOR,McLaren Mercedes
11,3,Daniel RicciardoRIC,McLaren Mercedes
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes
13,24,Zhou GuanyuZHO,Alfa Romeo Ferrari
14,10,Pierre GaslyGAS,AlphaTauri RBPT
15,23,Alexander AlbonALB,Williams Mercedes
16,22,Yuki TsunodaTSU,AlphaTauri RBPT
17,6,Nicholas LatifiLAT,Williams Mercedes
18,5,Sebastian VettelVET,Aston Martin Aramco Mercedes
19,14,Fernando AlonsoALO,Alpine Renault
