Pos,No,Driver,Car,Time,Gap,Laps
1,7,David CoulthardCOU,McLaren Mercedes,1:25.627,,29
2,8,Mika HakkinenHAK,McLaren Mercedes,1:26.431,+0.804s,26
3,3,Michael SchumacherMSC,Ferrari,1:27.056,+1.429s,25
4,9,Damon HillHIL,Jordan Mugen Honda,1:27.318,+1.691s,35
5,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:27.421,+1.794s,30
6,5,Giancarlo FisichellaFIS,Benetton Playlife,1:27.653,+2.026s,35
7,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:27.694,+2.067s,28
8,4,Eddie IrvineIRV,Ferrari,1:27.751,+2.124s,26
9,11,Olivier PanisPAN,Prost Peugeot,1:27.854,+2.227s,33
10,1,Jacques VilleneuveVIL,Williams Mecachrome,1:27.876,+2.249s,26
11,14,Jean AlesiALE,Sauber Petronas,1:27.931,+2.304s,26
12,6,Alexander WurzWUR,Benetton Playlife,1:27.959,+2.332s,31
13,17,Mika SaloSAL,Arrows,1:28.130,+2.503s,16
14,15,Johnny HerbertHER,Sauber Petronas,1:28.291,+2.664s,28
15,18,Rubens BarrichelloBAR,Stewart Ford,1:28.712,+3.085s,26
16,21,Toranosuke TakagiTAK,Tyrrell Ford,1:29.628,+4.001s,22
17,16,Pedro DinizDIN,Arrows,1:29.954,+4.327s,14
18,19,Jan MagnussenMAG,Stewart Ford,1:30.243,+4.616s,27
19,22,Shinji NakanoNAK,Minardi Ford,1:30.349,+4.722s,34
20,23,Esteban TueroTUE,Minardi Ford,1:31.182,+5.555s,13
21,20,Ricardo RossetROS,Tyrrell Ford,1:32.459,+6.832s,28
22,12,Jarno TrulliTRU,Prost Peugeot,1:43.882,+18.255s,6
