Pos,No,Driver,Car,Time,Gap,Laps
1,3,Michael SchumacherMSC,Ferrari,1:27.737,,20
2,7,David CoulthardCOU,McLaren Mercedes,1:28.289,+0.552s,19
3,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:28.347,+0.610s,30
4,8,Mika HakkinenHAK,McLaren Mercedes,1:28.501,+0.764s,24
5,9,Damon HillHIL,Jordan Mugen Honda,1:28.701,+0.964s,32
6,4,Eddie IrvineIRV,Ferrari,1:28.987,+1.250s,30
7,14,Jean AlesiALE,Sauber Petronas,1:29.151,+1.414s,30
8,1,Jacques VilleneuveVIL,Williams Mecachrome,1:29.614,+1.877s,29
9,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:29.633,+1.896s,30
10,5,Giancarlo FisichellaFIS,Benetton Playlife,1:29.781,+2.044s,36
11,6,Alexander WurzWUR,Benetton Playlife,1:29.842,+2.105s,16
12,12,Jarno TrulliTRU,Prost Peugeot,1:30.402,+2.665s,28
13,18,Rubens BarrichelloBAR,Stewart Ford,1:30.432,+2.695s,18
14,11,Olivier PanisPAN,Prost Peugeot,1:30.722,+2.985s,24
15,15,Johnny HerbertHER,Sauber Petronas,1:30.808,+3.071s,19
16,19,Jan MagnussenMAG,Stewart Ford,1:31.283,+3.546s,21
17,16,Pedro DinizDIN,Arrows,1:31.509,+3.772s,28
18,20,Ricardo RossetROS,Tyrrell Ford,1:31.975,+4.238s,26
19,17,Mika SaloSAL,Arrows,1:32.563,+4.826s,14
20,23,Esteban TueroTUE,Minardi Ford,1:32.883,+5.146s,28
21,21,Toranosuke TakagiTAK,Tyrrell Ford,1:33.299,+5.562s,24
22,22,Shinji NakanoNAK,Minardi Ford,1:33.675,+5.938s,21
