Pos,No,Driver,Car,Time
1,33,Andrea de CesarisDEC,Jordan Ford,1:25.535
1,1,Ayrton SennaSEN,McLaren Honda,1:21.877
2,6,Riccardo PatresePAT,Williams Renault,1:21.957
2,22,Jyrki JarvilehtoJAR,Dallara Judd,1:25.923
3,27,Alain ProstPRO,Ferrari,1:22.195
3,32,Bertrand GachotGAC,Jordan Ford,1:25.980
4,35,Eric van de PoeleVAN,Lambo Lamborghini,1:26.117
4,5,Nigel MansellMAN,Williams Renault,1:22.366
5,2,Gerhard BergerBER,McLaren Honda,1:22.567
5,21,Emanuele PirroPIR,Dallara Judd,1:26.305
6,14,Olivier GrouillardGRO,Fondmetal Ford,1:26.789
6,4,Stefano ModenaMOD,Tyrrell Honda,1:23.511
7,28,Jean AlesiALE,Ferrari,1:23.945
7,34,Nicola LariniLAR,Lambo Lamborghini,1:26.886
8,31,Pedro ChavesCHA,Coloni Ford,1:31.239
8,24,Gianni MorbidelliMOR,Minardi Ferrari,1:24.762
9,23,Pierluigi MartiniMAR,Minardi Ferrari,1:24.807
10,3,Satoru NakajimaNAK,Tyrrell Honda,1:25.345
13,19,Roberto MorenoMOR,Benetton Ford,1:25.655
14,20,Nelson PiquetPIQ,Benetton Ford,1:25.809
15,15,Mauricio GugelminGUG,Leyton House Ilmor,1:25.841
17,29,Eric BernardBER,Lola Ford,1:25.983
18,7,Martin BrundleBRU,Brabham Yamaha,1:26.055
19,26,Erik ComasCOM,Ligier Lamborghini,1:26.207
20,30,Aguri SuzukiSUZ,Lola Ford,1:26.356
22,16,Ivan CapelliCAP,Leyton House Ilmor,1:26.602
23,8,Mark BlundellBLU,Brabham Yamaha,1:26.778
24,25,Thierry BoutsenBOU,Ligier Lamborghini,1:26.998
25,11,Mika HakkinenHAK,Lotus Judd,1:27.324
26,12,Julian BaileyBAI,Lotus Judd,1:27.976
27,17,Gabriele TarquiniTAR,AGS Ford,1:28.175
28,18,Fabrizio BarbazzaBAR,AGS Ford,1:29.665
29,10,Alex CaffiCAF,Footwork Porsche,1:30.280
30,9,Michele AlboretoALB,Footwork Porsche,1:30.762
