Pos,No,Driver,Car,Time
1,7,Martin BrundleBRU,Brabham Yamaha,1:21.504
1,2,Gerhard BergerBER,McLaren Honda,1:18.751
2,5,Nigel MansellMAN,Williams Renault,1:18.970
2,8,Mark BlundellBLU,Brabham Yamaha,1:21.727
3,1,Ayrton SennaSEN,McLaren Honda,1:19.064
3,9,Michele AlboretoALB,Footwork Porsche,1:23.744
4,6,Riccardo PatresePAT,Williams Renault,1:19.643
4,14,Gabriele TarquiniTAR,Fondmetal Ford,1:23.994
5,19,Michael SchumacherMSC,Benetton Ford,1:19.733
5,10,Alex CaffiCAF,Footwork Porsche,1:24.056
6,18,Fabrizio BarbazzaBAR,AGS Ford,1:24.744
6,27,Alain ProstPRO,Ferrari,1:19.936
7,17,Olivier GrouillardGRO,AGS Ford,1:25.305
7,28,Jean AlesiALE,Ferrari,1:20.197
8,16,Ivan CapelliCAP,Leyton House Ilmor,1:20.584
9,21,Emanuele PirroPIR,Dallara Judd,1:20.651
10,20,Nelson PiquetPIQ,Benetton Ford,1:20.676
13,15,Mauricio GugelminGUG,Leyton House Ilmor,1:20.743
14,4,Stefano ModenaMOD,Tyrrell Honda,1:20.788
15,22,Jyrki JarvilehtoJAR,Dallara Judd,1:20.967
16,24,Gianni MorbidelliMOR,Minardi Ferrari,1:21.801
17,33,Andrea de CesarisDEC,Jordan Ford,1:21.865
18,3,Satoru NakajimaNAK,Tyrrell Honda,1:22.114
19,23,Pierluigi MartiniMAR,Minardi Ferrari,1:22.510
20,32,Alessandro ZanardiZAN,Jordan Ford,1:22.580
21,11,Mika HakkinenHAK,Lotus Judd,1:22.646
23,29,Eric BernardBER,Lola Ford,1:22.944
25,26,Erik ComasCOM,Ligier Lamborghini,1:23.359
26,25,Thierry BoutsenBOU,Ligier Lamborghini,1:23.553
27,30,Aguri SuzukiSUZ,Lola Ford,1:24.211
28,34,Nicola LariniLAR,Lambo Lamborghini,1:25.330
29,12,Michael BartelsBAR,Lotus Judd,1:25.392
30,35,Eric van de PoeleVAN,Lambo Lamborghini,1:27.501
