Pos,No,Driver,Car,Time
1,22,Jyrki JarvilehtoJAR,Dallara Judd,1:19.540
1,1,Ayrton SennaSEN,McLaren Honda,1:16.392
2,6,Riccardo PatresePAT,Williams Renault,1:16.775
2,33,Andrea de CesarisDEC,Jordan Ford,1:20.150
3,5,Nigel MansellMAN,Williams Renault,1:16.843
3,32,Bertrand GachotGAC,Jordan Ford,1:20.184
4,2,Gerhard BergerBER,McLaren Honda,1:17.471
4,21,Emanuele PirroPIR,Dallara Judd,1:20.567
5,28,Jean AlesiALE,Ferrari,1:17.601
5,35,Eric van de PoeleVAN,Lambo Lamborghini,1:21.919
6,27,Alain ProstPRO,Ferrari,1:17.739
6,34,Nicola LariniLAR,Lambo Lamborghini,1:22.944
7,31,Pedro ChavesCHA,Coloni Ford,1:23.231
7,20,Nelson PiquetPIQ,Benetton Ford,1:18.577
8,14,Olivier GrouillardGRO,Fondmetal Ford,1:23.951
8,15,Mauricio GugelminGUG,Leyton House Ilmor,1:18.664
9,4,Stefano ModenaMOD,Tyrrell Honda,1:18.847
11,29,Eric BernardBER,Lola Ford,1:19.291
14,19,Roberto MorenoMOR,Benetton Ford,1:19.360
15,16,Ivan CapelliCAP,Leyton House Ilmor,1:19.517
16,3,Satoru NakajimaNAK,Tyrrell Honda,1:19.546
17,30,Aguri SuzukiSUZ,Lola Ford,1:19.832
18,25,Thierry BoutsenBOU,Ligier Lamborghini,1:19.868
20,23,Pierluigi MartiniMAR,Minardi Ferrari,1:20.175
21,24,Gianni MorbidelliMOR,Minardi Ferrari,1:20.502
22,11,Mika HakkinenHAK,Lotus Judd,1:20.611
23,26,Erik ComasCOM,Ligier Lamborghini,1:21.168
24,17,Gabriele TarquiniTAR,AGS Ford,1:21.219
25,8,Mark BlundellBLU,Brabham Yamaha,1:21.230
26,7,Martin BrundleBRU,Brabham Yamaha,1:21.280
27,10,Alex CaffiCAF,Footwork Porsche,1:22.190
28,18,Stefan JohanssonJOH,AGS Ford,1:22.432
29,9,Michele AlboretoALB,Footwork Porsche,1:22.739
30,12,Julian BaileyBAI,Lotus Judd,1:23.590
