Pos,No,Driver,Car,Time
1,1,Ayrton SennaSEN,McLaren Honda,1:16.147
1,8,Mark BlundellBLU,Brabham Yamaha,1:22.290
2,6,Riccardo PatresePAT,Williams Renault,1:17.379
2,7,Martin BrundleBRU,Brabham Yamaha,1:23.716
3,5,Nigel MansellMAN,Williams Renault,1:17.389
3,14,Olivier GrouillardGRO,Fondmetal Ford,1:24.816
4,27,Alain ProstPRO,Ferrari,1:17.690
4,9,Michele AlboretoALB,Footwork Porsche,1:25.045
5,2,Gerhard BergerBER,McLaren Honda,1:17.705
5,17,Gabriele TarquiniTAR,AGS Ford,1:25.230
6,28,Jean AlesiALE,Ferrari,1:18.410
6,10,Alex CaffiCAF,Footwork Porsche,1:26.637
7,21,Emanuele PirroPIR,Dallara Judd,1:19.334
7,18,Fabrizio BarbazzaBAR,AGS Ford,1:26.740
8,31,Pedro ChavesCHA,Coloni Ford,1:26.945
8,4,Stefano ModenaMOD,Tyrrell Honda,1:19.748
9,16,Ivan CapelliCAP,Leyton House Ilmor,1:19.794
11,20,Nelson PiquetPIQ,Benetton Ford,1:19.984
12,22,Jyrki JarvilehtoJAR,Dallara Judd,1:20.014
13,15,Mauricio GugelminGUG,Leyton House Ilmor,1:20.024
14,3,Satoru NakajimaNAK,Tyrrell Honda,1:20.565
15,19,Roberto MorenoMOR,Benetton Ford,1:20.584
16,32,Bertrand GachotGAC,Jordan Ford,1:20.655
17,33,Andrea de CesarisDEC,Jordan Ford,1:20.805
18,23,Pierluigi MartiniMAR,Minardi Ferrari,1:20.823
19,25,Thierry BoutsenBOU,Ligier Lamborghini,1:20.870
21,29,Eric BernardBER,Lola Ford,1:21.267
22,30,Aguri SuzukiSUZ,Lola Ford,1:21.601
23,24,Gianni MorbidelliMOR,Minardi Ferrari,1:21.654
24,34,Nicola LariniLAR,Lambo Lamborghini,1:21.896
25,26,Erik ComasCOM,Ligier Lamborghini,1:22.258
26,11,Mika HakkinenHAK,Lotus Judd,1:22.335
29,35,Eric van de PoeleVAN,Lambo Lamborghini,1:23.162
30,12,Michael BartelsBAR,Lotus Judd,1:23.248
