Pos,No,Driver,Car,Time
1,7,Martin BrundleBRU,Brabham Yamaha,1:17.707
1,1,Ayrton SennaSEN,McLaren Honda,1:14.041
2,2,Gerhard BergerBER,McLaren Honda,1:14.385
2,10,Alex CaffiCAF,Footwork Porsche,1:18.007
3,8,Mark BlundellBLU,Brabham Yamaha,1:18.049
3,5,Nigel MansellMAN,Williams Renault,1:14.822
4,6,Riccardo PatresePAT,Williams Renault,1:15.057
4,9,Michele AlboretoALB,Footwork Porsche,1:18.051
5,14,Gabriele TarquiniTAR,Fondmetal Ford,1:18.184
5,20,Nelson PiquetPIQ,Benetton Ford,1:15.291
6,31,Naoki HattoriHAT,Coloni Ford,1:22.852
6,19,Michael SchumacherMSC,Benetton Ford,1:15.508
7,28,Jean AlesiALE,Ferrari,1:15.545
8,27,Gianni MorbidelliMOR,Ferrari,1:16.203
9,4,Stefano ModenaMOD,Tyrrell Honda,1:16.253
10,23,Pierluigi MartiniMAR,Minardi Ferrari,1:16.359
11,22,Jyrki JarvilehtoJAR,Dallara Judd,1:16.871
12,33,Andrea de CesarisDEC,Jordan Ford,1:17.050
13,21,Emanuele PirroPIR,Dallara Judd,1:17.342
14,15,Mauricio GugelminGUG,Leyton House Ilmor,1:17.344
16,32,Alessandro ZanardiZAN,Jordan Ford,1:17.362
18,24,Roberto MorenoMOR,Minardi Ferrari,1:17.639
19,34,Nicola LariniLAR,Lambo Lamborghini,1:17.936
20,25,Thierry BoutsenBOU,Ligier Lamborghini,1:17.969
21,12,Johnny HerbertHER,Lotus Judd,1:18.091
22,26,Erik ComasCOM,Ligier Lamborghini,1:18.112
24,3,Satoru NakajimaNAK,Tyrrell Honda,1:18.216
25,11,Mika HakkinenHAK,Lotus Judd,1:18.271
26,16,Karl WendlingerWEN,Leyton House Ilmor,1:18.282
27,30,Aguri SuzukiSUZ,Lola Ford,1:18.393
29,35,Eric van de PoeleVAN,Lambo Lamborghini,1:19.000
30,29,Bertrand GachotGAC,Lola Ford,1:19.274
