Pos,No,Driver,Car,Time
1,1,Ayrton SennaSEN,McLaren Honda,1:21.114
1,8,Mark BlundellBLU,Brabham Yamaha,1:24.271
2,5,Nigel MansellMAN,Williams Renault,1:21.247
2,7,Martin BrundleBRU,Brabham Yamaha,1:25.117
3,2,Gerhard BergerBER,McLaren Honda,1:21.346
3,14,Olivier GrouillardGRO,Fondmetal Ford,1:25.556
4,6,Riccardo PatresePAT,Williams Renault,1:21.372
4,9,Michele AlboretoALB,Footwork Porsche,1:25.771
5,27,Alain ProstPRO,Ferrari,1:21.825
5,18,Fabrizio BarbazzaBAR,AGS Ford,1:27.392
6,17,Gabriele TarquiniTAR,AGS Ford,1:27.401
6,28,Jean AlesiALE,Ferrari,1:21.890
7,19,Michael SchumacherMSC,Benetton Ford,1:22.471
7,10,Alex CaffiCAF,Footwork Porsche,1:27.608
8,20,Nelson PiquetPIQ,Benetton Ford,1:22.726
9,32,Roberto MorenoMOR,Jordan Ford,1:23.102
10,23,Pierluigi MartiniMAR,Minardi Ferrari,1:23.294
12,16,Ivan CapelliCAP,Leyton House Ilmor,1:23.674
13,4,Stefano ModenaMOD,Tyrrell Honda,1:23.701
14,33,Andrea de CesarisDEC,Jordan Ford,1:23.921
15,3,Satoru NakajimaNAK,Tyrrell Honda,1:24.265
16,21,Emanuele PirroPIR,Dallara Judd,1:24.282
17,24,Gianni MorbidelliMOR,Minardi Ferrari,1:24.287
18,15,Mauricio GugelminGUG,Leyton House Ilmor,1:24.391
20,22,Jyrki JarvilehtoJAR,Dallara Judd,1:24.725
21,25,Thierry BoutsenBOU,Ligier Lamborghini,1:25.177
22,26,Erik ComasCOM,Ligier Lamborghini,1:25.420
23,34,Nicola LariniLAR,Lambo Lamborghini,1:25.717
24,29,Eric BernardBER,Lola Ford,1:25.871
25,11,Mika HakkinenHAK,Lotus Judd,1:25.941
28,12,Michael BartelsBAR,Lotus Judd,1:26.829
29,35,Eric van de PoeleVAN,Lambo Lamborghini,1:27.099
30,30,Aguri SuzukiSUZ,Lola Ford,1:27.257
