Pos,No,Driver,Car,Time
1,81,Oscar PiastriPIA,McLaren Mercedes,1:08.899
2,4,Lando NorrisNOR,McLaren Mercedes,1:08.928
3,16,Charles LeclercLEC,Ferrari,1:09.153
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:09.219
5,55,Carlos SainzSAI,Ferrari,1:09.257
6,63,George RussellRUS,Mercedes,1:09.443
7,10,Pierre GaslyGAS,Alpine Renault,1:09.622
8,30,Liam LawsonLAW,RB Honda RBPT,1:09.941
9,23,Alexander AlbonALB,Williams Mercedes,1:10.078
10,50,Oliver BearmanBEA,Haas Ferrari,
11,44,Lewis HamiltonHAM,Mercedes,1:09.941
12,27,Nico HulkenbergHUL,Haas Ferrari,1:09.964
13,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:10.024
14,43,Franco ColapintoCOL,Williams Mercedes,1:10.275
15,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:10.595
16,31,Esteban OconOCO,Alpine Renault,1:11.052
17,22,Yuki TsunodaTSU,RB Honda RBPT,1:11.121
18,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:10.978
19,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:11.280
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:12.978
