Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:27.641
2,16,Charles LeclercLEC,Ferrari,1:27.749
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:27.876
4,3,Daniel RicciardoRIC,RB Honda RBPT,1:28.044
5,55,Carlos SainzSAI,Ferrari,1:28.103
6,81,Oscar PiastriPIA,McLaren Mercedes,1:28.161
7,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:28.375
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:28.419
9,4,Lando NorrisNOR,McLaren Mercedes,1:28.472
10,27,Nico HulkenbergHUL,Haas Ferrari,1:28.476
11,63,George RussellRUS,Mercedes,1:28.343
12,44,Lewis HamiltonHAM,Mercedes,1:28.371
13,31,Esteban OconOCO,Alpine Renault,1:28.379
14,20,Kevin MagnussenMAG,Haas Ferrari,1:28.614
15,22,Yuki TsunodaTSU,RB Honda RBPT,
16,10,Pierre GaslyGAS,Alpine Renault,1:29.185
17,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:29.267
18,2,Logan SargeantSAR,Williams Mercedes,1:29.551
19,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:29.360
20,23,Alexander AlbonALB,Williams Mercedes,1:29.858
