Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:32.833
2,63,George RussellRUS,Mercedes,1:32.845
3,16,Charles LeclercLEC,Ferrari,1:33.059
4,4,Lando NorrisNOR,McLaren Mercedes,1:33.083
5,55,Carlos SainzSAI,Ferrari,1:33.089
6,27,Nico HulkenbergHUL,Haas Ferrari,1:33.183
7,44,Lewis HamiltonHAM,Mercedes,1:33.378
8,20,Kevin MagnussenMAG,Haas Ferrari,1:33.398
9,22,Yuki TsunodaTSU,RB Honda RBPT,1:33.802
10,43,Franco ColapintoCOL,Williams Mercedes,1:34.406
11,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:34.244
12,10,Pierre GaslyGAS,Alpine Renault,1:34.363
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,
14,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,
15,30,Liam LawsonLAW,RB Honda RBPT,
16,81,Oscar PiastriPIA,McLaren Mercedes,1:34.881
17,31,Esteban OconOCO,Alpine Renault,1:34.917
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:35.148
19,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:36.472
20,23,Alexander AlbonALB,Williams Mercedes,1:35.054
