Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:04.686
2,4,Lando NorrisNOR,McLaren Mercedes,1:04.779
3,81,Oscar PiastriPIA,McLaren Mercedes,1:04.987
4,63,George RussellRUS,Mercedes,1:05.054
5,55,Carlos SainzSAI,Ferrari,1:05.126
6,44,Lewis HamiltonHAM,Mercedes,1:05.270
7,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:06.008
8,31,Esteban OconOCO,Alpine Renault,1:06.101
9,10,Pierre GaslyGAS,Alpine Renault,1:06.624
10,16,Charles LeclercLEC,Ferrari,
11,20,Kevin MagnussenMAG,Haas Ferrari,1:05.806
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:05.847
13,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:05.878
14,22,Yuki TsunodaTSU,RB Honda RBPT,1:05.960
15,2,Logan SargeantSAR,Williams Mercedes,
16,3,Daniel RicciardoRIC,RB Honda RBPT,1:06.581
17,27,Nico HulkenbergHUL,Haas Ferrari,1:06.583
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:06.725
19,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:07.197
20,23,Alexander AlbonALB,Williams Mercedes,1:06.754
