Pos,No,Driver,Car,Time
1,4,Lando NorrisNOR,McLaren Mercedes,1:57.940
2,44,Lewis HamiltonHAM,Mercedes,1:59.201
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:59.915
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,2:00.028
5,55,Carlos SainzSAI,Ferrari,2:00.214
6,11,Sergio PerezPER,Red Bull Racing Honda RBPT,2:00.375
7,16,Charles LeclercLEC,Ferrari,2:00.566
8,81,Oscar PiastriPIA,McLaren Mercedes,2:00.990
9,77,Valtteri BottasBOT,Kick Sauber Ferrari,2:01.044
10,24,Zhou GuanyuZHO,Kick Sauber Ferrari,2:03.537
11,63,George RussellRUS,Mercedes,1:36.345
12,20,Kevin MagnussenMAG,Haas Ferrari,1:36.473
13,27,Nico HulkenbergHUL,Haas Ferrari,1:36.478
14,3,Daniel RicciardoRIC,RB Honda RBPT,1:36.553
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:36.677
16,10,Pierre GaslyGAS,Alpine Renault,1:37.632
17,31,Esteban OconOCO,Alpine Renault,1:37.720
18,23,Alexander AlbonALB,Williams Mercedes,1:37.812
19,22,Yuki TsunodaTSU,RB Honda RBPT,1:37.892
20,2,Logan SargeantSAR,Williams Mercedes,1:37.923
