Pos,No,Driver,Car,Time
1,4,Lando NorrisNOR,McLaren Mercedes,1:21.012
2,63,George RussellRUS,Mercedes,1:21.075
3,81,Oscar PiastriPIA,McLaren Mercedes,1:21.171
4,55,Carlos SainzSAI,Ferrari,1:21.281
5,16,Charles LeclercLEC,Ferrari,1:21.308
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:21.315
7,44,Lewis HamiltonHAM,Mercedes,1:21.474
8,10,Pierre GaslyGAS,Alpine Renault,1:21.978
9,27,Nico HulkenbergHUL,Haas Ferrari,1:22.088
10,30,Liam LawsonLAW,RB Honda RBPT,1:22.577
11,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:22.433
12,23,Alexander AlbonALB,Williams Mercedes,1:22.526
13,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:22.538
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:22.599
15,20,Kevin MagnussenMAG,Haas Ferrari,1:22.738
16,22,Yuki TsunodaTSU,RB Honda RBPT,1:22.722
17,31,Esteban OconOCO,Alpine Renault,1:22.906
18,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:22.948
19,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:22.718
20,43,Franco ColapintoCOL,Williams Mercedes,1:23.423
