Pos,No,Driver,Car,Time
1,8,Stefano ModenaMOD,Brabham Judd,1:27.350
1,1,Ayrton SennaSEN,McLaren Honda,1:26.010
2,7,Martin BrundleBRU,Brabham Judd,1:28.197
2,2,Alain ProstPRO,McLaren Honda,1:26.235
3,27,Nigel MansellMAN,Ferrari,1:27.652
3,21,Alex CaffiCAF,Dallara Ford,1:29.346
4,17,Nicola LariniLAR,Osella Ford,1:29.787
4,6,Riccardo PatresePAT,Williams Renault,1:27.920
5,28,Gerhard BergerBER,Ferrari,1:28.089
5,37,Bertrand GachotGAC,Onyx Ford,1:30.384
6,5,Thierry BoutsenBOU,Williams Renault,1:28.308
6,33,Gregor FoitekFOI,Euro Brun Judd,1:30.620
7,18,Piercarlo GhinzaniGHI,Osella Ford,1:30.631
7,19,Alessandro NanniniNAN,Benetton Ford,1:28.854
8,11,Nelson PiquetPIQ,Lotus Judd,1:29.057
8,36,Stefan JohanssonJOH,Onyx Ford,1:30.647
9,41,Joachim WinkelhockWIN,AGS Ford,1:32.071
10,32,Pierre Henri RaphanelRAP,Coloni Ford,1:32.267
10,26,Olivier GrouillardGRO,Ligier Ford,1:29.104
11,35,Aguri SuzukiSUZ,Zakspeed Yamaha,1:32.287
11,23,Pierluigi MartiniMAR,Minardi Ford,1:29.152
12,9,Derek WarwickWAR,Arrows Ford,1:29.281
12,34,Bernd SchneiderSCH,Zakspeed Yamaha,1:32.855
13,39,Volker WeidlerWEI,Rial Ford,1:36.480
13,16,Ivan CapelliCAP,March Judd,1:29.385
15,24,Luis Perez-SalaPER,Minardi Ford,1:29.503
16,22,Andrea de CesarisDEC,Dallara Ford,1:29.669
18,40,Gabriele TarquiniTAR,AGS Ford,1:29.913
19,15,Mauricio GugelminGUG,March Judd,1:30.163
20,30,Philippe AlliotALL,Lola Lamborghini,1:30.168
21,10,Eddie  CheeverCHE,Arrows Ford,1:30.233
23,20,Johnny HerbertHER,Benetton Ford,1:30.347
24,12,Satoru NakajimaNAK,Lotus Judd,1:30.697
25,3,Jonathan  PalmerPAL,Tyrrell Ford,1:30.928
26,29,Yannick DalmasDAL,Lola Lamborghini,1:31.137
27,4,Michele AlboretoALB,Tyrrell Ford,1:31.206
28,25,Rene ArnouxARN,Ligier Ford,1:31.268
29,38,Christian DannerDAN,Rial Ford,1:31.342
30,31,Roberto MorenoMOR,Coloni Ford,1:31.775
