Pos,No,Driver,Car,Time
1,1,Ayrton SennaSEN,McLaren Honda,1:09.099
1,37,Bertrand GachotGAC,Onyx Ford,1:11.506
2,17,Nicola LariniLAR,Osella Ford,1:11.766
2,2,Alain ProstPRO,McLaren Honda,1:09.266
3,27,Nigel MansellMAN,Ferrari,1:09.488
3,8,Stefano ModenaMOD,Brabham Judd,1:11.809
4,7,Martin BrundleBRU,Brabham Judd,1:12.021
4,28,Gerhard BergerBER,Ferrari,1:09.855
5,6,Riccardo PatresePAT,Williams Renault,1:09.865
5,36,Stefan JohanssonJOH,Onyx Ford,1:12.248
6,15,Mauricio GugelminGUG,March Judd,1:10.336
6,21,Alex CaffiCAF,Dallara Ford,1:12.501
7,33,Gregor FoitekFOI,Euro Brun Judd,1:13.128
7,5,Thierry BoutsenBOU,Williams Renault,1:10.376
8,16,Ivan CapelliCAP,March Judd,1:10.650
8,18,Piercarlo GhinzaniGHI,Osella Ford,1:13.429
9,19,Alessandro NanniniNAN,Benetton Ford,1:10.798
9,41,Yannick DalmasDAL,AGS Ford,1:13.720
10,34,Bernd SchneiderSCH,Zakspeed Yamaha,1:14.124
10,11,Nelson PiquetPIQ,Lotus Judd,1:10.925
11,23,Pierluigi MartiniMAR,Minardi Ford,1:11.368
11,32,Pierre Henri RaphanelRAP,Coloni Ford,1:14.206
12,35,Aguri SuzukiSUZ,Zakspeed Yamaha,1:14.266
12,30,Philippe AlliotALL,Lola Lamborghini,1:11.541
13,39,Volker WeidlerWEI,Rial Ford,1:15.096
13,29,Eric BernardBER,Lola Lamborghini,1:11.687
15,24,Luis Perez-SalaPER,Minardi Ford,1:11.826
16,12,Satoru NakajimaNAK,Lotus Judd,1:11.960
18,3,Jonathan  PalmerPAL,Tyrrell Ford,1:12.070
19,9,Derek WarwickWAR,Arrows Ford,1:12.208
22,4,Jean AlesiALE,Tyrrell Ford,1:12.341
23,31,Roberto MorenoMOR,Coloni Ford,1:12.412
24,26,Olivier GrouillardGRO,Ligier Ford,1:12.605
25,22,Andrea de CesarisDEC,Dallara Ford,1:12.904
26,20,Emanuele PirroPIR,Benetton Ford,1:13.148
27,25,Rene ArnouxARN,Ligier Ford,1:13.240
28,10,Eddie  CheeverCHE,Arrows Ford,1:13.386
29,40,Gabriele TarquiniTAR,AGS Ford,1:13.496
30,38,Christian DannerDAN,Rial Ford,1:15.387
