Pos,No,Driver,Car,Time
1,30,Philippe AlliotALL,Lola Lamborghini,1:26.623
1,1,Ayrton SennaSEN,McLaren Honda,1:23.720
2,28,Gerhard BergerBER,Ferrari,1:24.734
2,29,Michele AlboretoALB,Lola Lamborghini,1:27.829
3,27,Nigel MansellMAN,Ferrari,1:24.739
3,17,Nicola LariniLAR,Osella Ford,1:27.980
4,37,Bertrand GachotGAC,Onyx Ford,1:28.344
4,2,Alain ProstPRO,McLaren Honda,1:25.510
5,36,Stefan JohanssonJOH,Onyx Ford,1:28.588
5,6,Riccardo PatresePAT,Williams Renault,1:25.545
6,5,Thierry BoutsenBOU,Williams Renault,1:26.155
6,40,Gabriele TarquiniTAR,AGS Ford,1:28.813
7,31,Roberto MorenoMOR,Coloni Ford,1:28.864
8,18,Piercarlo GhinzaniGHI,Osella Ford,1:28.884
8,19,Alessandro NanniniNAN,Benetton Ford,1:27.052
9,20,Emanuele PirroPIR,Benetton Ford,1:27.397
9,34,Bernd SchneiderSCH,Zakspeed Yamaha,1:29.472
10,35,Aguri SuzukiSUZ,Zakspeed Yamaha,1:30.085
10,4,Jean AlesiALE,Tyrrell Ford,1:27.399
11,11,Nelson PiquetPIQ,Lotus Judd,1:27.508
11,33,Oscar LarrauriLAR,Euro Brun Judd,1:30.089
12,41,Yannick DalmasDAL,AGS Ford,1:30.382
12,7,Martin BrundleBRU,Brabham Judd,1:27.627
13,32,Enrico BertaggiaBER,Coloni Ford,1:31.606
14,3,Jonathan  PalmerPAL,Tyrrell Ford,1:27.822
15,23,Pierluigi MartiniMAR,Minardi Ford,1:27.923
16,9,Derek WarwickWAR,Arrows Ford,1:28.092
17,22,Andrea de CesarisDEC,Dallara Ford,1:28.129
18,16,Ivan CapelliCAP,March Judd,1:28.430
19,12,Satoru NakajimaNAK,Lotus Judd,1:28.441
20,21,Alex CaffiCAF,Dallara Ford,1:28.596
21,26,Olivier GrouillardGRO,Ligier Ford,1:28.669
23,25,Rene ArnouxARN,Ligier Ford,1:28.685
25,15,Mauricio GugelminGUG,March Judd,1:28.923
26,24,Luis Perez-SalaPER,Minardi Ford,1:29.293
27,10,Eddie  CheeverCHE,Arrows Ford,1:29.554
28,38,Christian DannerDAN,Rial Ford,1:31.830
29,39,Pierre Henri RaphanelRAP,Rial Ford,1:36.295
