Pos,No,Driver,Car,Time
1,7,Martin BrundleBRU,Brabham Judd,1:27.764
1,1,Ayrton SennaSEN,McLaren Honda,1:25.302
2,6,Riccardo PatresePAT,Williams Renault,1:26.172
2,8,Stefano ModenaMOD,Brabham Judd,1:28.147
3,28,Gerhard BergerBER,Ferrari,1:26.271
3,33,Gregor FoitekFOI,Euro Brun Judd,1:29.604
4,5,Thierry BoutsenBOU,Williams Renault,1:26.459
4,17,Nicola LariniLAR,Osella Ford,1:29.679
5,34,Bernd SchneiderSCH,Zakspeed Yamaha,1:30.417
5,2,Alain ProstPRO,McLaren Honda,1:26.620
6,27,Nigel MansellMAN,Ferrari,1:26.772
6,21,Alex CaffiCAF,Dallara Ford,1:30.747
7,18,Piercarlo GhinzaniGHI,Osella Ford,1:31.150
7,16,Ivan CapelliCAP,March Judd,1:27.035
8,9,Derek WarwickWAR,Arrows Ford,1:27.408
8,39,Volker WeidlerWEI,Rial Ford,1:31.964
9,11,Nelson PiquetPIQ,Lotus Judd,1:27.437
9,32,Pierre Henri RaphanelRAP,Coloni Ford,1:32.019
10,41,Joachim WinkelhockWIN,AGS Ford,1:32.982
10,20,Johnny HerbertHER,Benetton Ford,1:27.626
11,35,Aguri SuzukiSUZ,Zakspeed Yamaha,1:33.079
11,19,Alessandro NanniniNAN,Benetton Ford,1:27.865
12,15,Mauricio GugelminGUG,March Judd,1:27.956
12,36,Stefan JohanssonJOH,Onyx Ford,1:35.232
13,37,Bertrand GachotGAC,Onyx Ford,1:37.932
15,22,Andrea de CesarisDEC,Dallara Ford,1:29.005
16,23,Pierluigi MartiniMAR,Minardi Ford,1:29.435
17,38,Christian DannerDAN,Rial Ford,1:29.455
18,3,Jonathan  PalmerPAL,Tyrrell Ford,1:29.573
20,4,Michele AlboretoALB,Tyrrell Ford,1:30.255
21,12,Satoru NakajimaNAK,Lotus Judd,1:30.375
22,26,Olivier GrouillardGRO,Ligier Ford,1:30.410
23,24,Luis Perez-SalaPER,Minardi Ford,1:30.643
24,10,Eddie  CheeverCHE,Arrows Ford,1:30.657
26,30,Philippe AlliotALL,Lola Lamborghini,1:31.009
27,29,Yannick DalmasDAL,Lola Lamborghini,1:31.260
28,25,Rene ArnouxARN,Ligier Ford,1:31.376
30,31,Roberto MorenoMOR,Coloni Ford,1:32.561
