Pos,No,Driver,Car,Time
1,1,Ayrton SennaSEN,McLaren Honda,1:30.108
1,7,Martin BrundleBRU,Brabham Judd,1:32.293
2,2,Alain ProstPRO,McLaren Honda,1:31.517
2,21,Alex CaffiCAF,Dallara Ford,1:32.992
3,19,Alessandro NanniniNAN,Benetton Ford,1:31.799
3,36,Stefan JohanssonJOH,Onyx Ford,1:33.768
4,27,Nigel MansellMAN,Ferrari,1:31.927
4,8,Stefano ModenaMOD,Brabham Judd,1:33.924
5,18,Piercarlo GhinzaniGHI,Osella Ford,1:34.281
6,32,Pierre Henri RaphanelRAP,Coloni Ford,1:35.110
7,33,Gregor FoitekFOI,Euro Brun Judd,1:35.805
8,28,Gerhard BergerBER,Ferrari,1:32.364
8,17,Nicola LariniLAR,Osella Ford,1:36.470
9,4,Michele AlboretoALB,Tyrrell Ford,1:32.491
9,41,Joachim WinkelhockWIN,AGS Ford,1:36.498
10,39,Volker WeidlerWEI,Rial Ford,1:36.583
10,9,Derek WarwickWAR,Arrows Ford,1:32.492
11,34,Bernd SchneiderSCH,Zakspeed Yamaha,1:36.610
11,16,Ivan CapelliCAP,March Judd,1:32.493
12,30,Philippe AlliotALL,Lola Lamborghini,1:32.562
12,35,Aguri SuzukiSUZ,Zakspeed Yamaha,1:37.776
13,22,Andrea de CesarisDEC,Dallara Ford,1:32.649
13,37,Bertrand GachotGAC,Onyx Ford,1:45.530
14,6,Riccardo PatresePAT,Williams Renault,1:32.795
15,23,Pierluigi MartiniMAR,Minardi Ford,1:33.031
16,5,Thierry BoutsenBOU,Williams Renault,1:33.044
17,10,Eddie  CheeverCHE,Arrows Ford,1:33.214
18,15,Mauricio GugelminGUG,March Judd,1:33.324
20,24,Luis Perez-SalaPER,Minardi Ford,1:33.724
21,3,Jonathan  PalmerPAL,Tyrrell Ford,1:33.741
22,11,Nelson PiquetPIQ,Lotus Judd,1:33.745
23,12,Satoru NakajimaNAK,Lotus Judd,1:33.782
24,40,Gabriele TarquiniTAR,AGS Ford,1:33.790
25,20,Johnny HerbertHER,Benetton Ford,1:33.806
26,38,Christian DannerDAN,Rial Ford,1:33.848
27,26,Olivier GrouillardGRO,Ligier Ford,1:34.153
28,31,Roberto MorenoMOR,Coloni Ford,1:34.352
29,25,Rene ArnouxARN,Ligier Ford,1:34.798
30,29,Yannick DalmasDAL,Lola Lamborghini,1:35.496
