Pos,No,Driver,Car,Time
1,36,Stefan JohanssonJOH,Onyx Ford,1:56.279
1,1,Ayrton SennaSEN,McLaren Honda,1:50.867
2,29,Michele AlboretoALB,Lola Lamborghini,1:57.509
2,2,Alain ProstPRO,McLaren Honda,1:51.463
3,28,Gerhard BergerBER,Ferrari,1:52.391
3,37,Bertrand GachotGAC,Onyx Ford,1:57.720
4,5,Thierry BoutsenBOU,Williams Renault,1:52.786
4,30,Philippe AlliotALL,Lola Lamborghini,1:57.748
5,6,Riccardo PatresePAT,Williams Renault,1:52.875
5,17,Nicola LariniLAR,Osella Ford,1:58.065
6,18,Piercarlo GhinzaniGHI,Osella Ford,1:58.209
6,27,Nigel MansellMAN,Ferrari,1:52.898
7,31,Roberto MorenoMOR,Coloni Ford,1:58.650
7,19,Alessandro NanniniNAN,Benetton Ford,1:55.075
8,40,Gabriele TarquiniTAR,AGS Ford,1:59.432
8,8,Stefano ModenaMOD,Brabham Judd,1:55.642
9,15,Mauricio GugelminGUG,March Judd,1:55.729
9,34,Bernd SchneiderSCH,Zakspeed Yamaha,2:00.713
10,35,Aguri SuzukiSUZ,Zakspeed Yamaha,2:00.757
10,9,Derek WarwickWAR,Arrows Ford,1:55.864
11,41,Yannick DalmasDAL,AGS Ford,2:02.205
12,21,Alex CaffiCAF,Dallara Ford,1:55.892
12,33,Gregor FoitekFOI,Euro Brun Judd,2:02.767
13,20,Emanuele PirroPIR,Benetton Ford,1:55.902
13,32,Enrico BertaggiaBER,Coloni Ford,2:21.709
14,23,Pierluigi MartiniMAR,Minardi Ford,1:56.115
16,4,Johnny HerbertHER,Tyrrell Ford,1:56.248
17,25,Rene ArnouxARN,Ligier Ford,1:56.251
18,22,Andrea de CesarisDEC,Dallara Ford,1:56.257
19,16,Ivan CapelliCAP,March Judd,1:56.291
20,7,Martin BrundleBRU,Brabham Judd,1:56.327
21,3,Jonathan  PalmerPAL,Tyrrell Ford,1:56.600
24,10,Eddie  CheeverCHE,Arrows Ford,1:56.748
25,24,Luis Perez-SalaPER,Minardi Ford,1:56.957
26,26,Olivier GrouillardGRO,Ligier Ford,1:57.027
27,12,Satoru NakajimaNAK,Lotus Judd,1:57.251
28,11,Nelson PiquetPIQ,Lotus Judd,1:57.771
29,38,Christian DannerDAN,Rial Ford,2:00.247
30,39,Pierre Henri RaphanelRAP,Rial Ford,2:02.937
