Pos,No,Driver,Car,Time
1,17,Nicola LariniLAR,Osella Ford,1:18.379
1,1,Ayrton SennaSEN,McLaren Honda,1:16.665
2,2,Alain ProstPRO,McLaren Honda,1:17.403
2,30,Philippe AlliotALL,Lola Lamborghini,1:18.523
3,23,Pierluigi MartiniMAR,Minardi Ford,1:17.623
3,18,Piercarlo GhinzaniGHI,Osella Ford,1:19.153
4,19,Alessandro NanniniNAN,Benetton Ford,1:17.762
4,37,Jyrki JarvilehtoJAR,Onyx Ford,1:19.442
5,36,Stefan JohanssonJOH,Onyx Ford,1:19.539
5,5,Thierry BoutsenBOU,Williams Renault,1:17.791
6,29,Michele AlboretoALB,Lola Lamborghini,1:20.129
6,6,Riccardo PatresePAT,Williams Renault,1:17.827
7,27,Nigel MansellMAN,Ferrari,1:18.313
7,34,Bernd SchneiderSCH,Zakspeed Yamaha,1:20.179
8,31,Roberto MorenoMOR,Coloni Ford,1:20.183
8,8,Stefano ModenaMOD,Brabham Judd,1:18.750
9,22,Andrea de CesarisDEC,Dallara Ford,1:18.828
9,33,Oscar LarrauriLAR,Euro Brun Judd,1:20.750
10,21,Alex CaffiCAF,Dallara Ford,1:18.857
10,35,Aguri SuzukiSUZ,Zakspeed Yamaha,1:21.012
11,41,Yannick DalmasDAL,AGS Ford,1:21.022
12,40,Gabriele TarquiniTAR,AGS Ford,1:21.600
12,7,Martin BrundleBRU,Brabham Judd,1:19.136
13,20,Emanuele PirroPIR,Benetton Ford,1:19.217
13,32,Enrico BertaggiaBER,Coloni Ford,1:24.081
14,28,Gerhard BergerBER,Ferrari,1:19.238
15,4,Jean AlesiALE,Tyrrell Ford,1:19.259
16,16,Ivan CapelliCAP,March Judd,1:19.269
18,11,Nelson PiquetPIQ,Lotus Judd,1:19.392
20,9,Derek WarwickWAR,Arrows Ford,1:19.599
22,10,Eddie  CheeverCHE,Arrows Ford,1:19.922
23,12,Satoru NakajimaNAK,Lotus Judd,1:20.066
24,26,Olivier GrouillardGRO,Ligier Ford,1:20.073
25,15,Mauricio GugelminGUG,March Judd,1:20.191
26,25,Rene ArnouxARN,Ligier Ford,1:20.391
27,3,Jonathan  PalmerPAL,Tyrrell Ford,1:20.428
28,24,Luis Perez-SalaPER,Minardi Ford,1:20.633
29,39,Bertrand GachotGAC,Rial Ford,1:22.267
30,38,Pierre Henri RaphanelRAP,Rial Ford,1:22.305
