Pos,No,Driver,Car,Time,Gap,Laps
1,2,David CoulthardCOU,McLaren Mercedes,1:31.971,,30
2,1,Mika HakkinenHAK,McLaren Mercedes,1:31.985,+0.014s,21
3,16,Rubens BarrichelloBAR,Stewart Ford,1:32.947,+0.976s,30
4,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:33.029,+1.058s,38
5,17,Johnny HerbertHER,Stewart Ford,1:33.166,+1.195s,28
6,7,Damon HillHIL,Jordan Mugen Honda,1:33.420,+1.449s,38
7,3,Michael SchumacherMSC,Ferrari,1:33.576,+1.605s,17
8,19,Jarno TrulliTRU,Prost Peugeot,1:33.870,+1.899s,31
9,5,Alessandro ZanardiZAN,Williams Supertec,1:33.951,+1.980s,30
10,6,Ralf SchumacherRSC,Williams Supertec,1:33.957,+1.986s,26
11,10,Alexander WurzWUR,Benetton Playlife,1:34.046,+2.075s,31
12,9,Giancarlo FisichellaFIS,Benetton Playlife,1:34.135,+2.164s,25
13,11,Jean AlesiALE,Sauber Petronas,1:34.541,+2.570s,17
14,4,Eddie IrvineIRV,Ferrari,1:34.595,+2.624s,23
15,18,Olivier PanisPAN,Prost Peugeot,1:34.693,+2.722s,23
16,22,Jacques VilleneuveVIL,BAR Supertec,1:34.695,+2.724s,25
17,12,Pedro DinizDIN,Sauber Petronas,1:35.253,+3.282s,24
18,15,Toranosuke TakagiTAK,Arrows,1:35.699,+3.728s,30
19,14,Pedro de la RosaDLR,Arrows,1:35.756,+3.785s,35
20,21,Marc GeneGEN,Minardi Ford,1:36.481,+4.510s,38
21,20,Luca BadoerBAD,Minardi Ford,1:37.958,+5.987s,22
22,23,Ricardo ZontaZON,BAR Supertec,1:38.075,+6.104s,12
