Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,15,Justin WilsonWIL,Jaguar Cosworth,12,14:20:58,31.841,31.841
1,19,Jos VerstappenVER,Minardi Cosworth,12,14:21:14,29.952,29.952
1,8,Fernando AlonsoALO,Renault,13,14:21:45,28.714,28.714
1,14,Mark WebberWEB,Jaguar Cosworth,13,14:22:07,28.980,28.980
1,18,Nicolas KiesaKIE,Minardi Cosworth,13,14:23:07,31.671,31.671
1,11,Giancarlo FisichellaFIS,Jordan Ford,14,14:23:52,33.078,33.078
1,6,Kimi RäikkönenRAI,McLaren Mercedes,15,14:24:54,29.182,29.182
1,7,Jarno TrulliTRU,Renault,15,14:25:00,27.472,27.472
1,20,Olivier PanisPAN,Toyota,15,14:25:14,29.823,29.823
1,2,Rubens BarrichelloBAR,Ferrari,16,14:26:25,28.472,28.472
1,3,Juan Pablo MontoyaMOY,Williams BMW,16,14:26:30,28.598,28.598
1,21,Cristiano da MattaDAM,Toyota,15,14:26:57,29.232,29.232
1,1,Michael SchumacherMSC,Ferrari,17,14:27:54,28.944,28.944
1,4,Ralf SchumacherRSC,Williams BMW,17,14:27:55,31.232,31.232
1,9,Nick HeidfeldHEI,Sauber Petronas,17,14:27:59,29.044,29.044
1,5,David CoulthardCOU,McLaren Mercedes,18,14:29:17,31.536,31.536
1,17,Jenson ButtonBUT,BAR Honda,18,14:29:41,31.145,31.145
1,12,Zsolt BaumgartnerBAU,Jordan Ford,19,14:31:38,32.680,32.680
1,10,Heinz-Harald FrentzenFRE,Sauber Petronas,22,14:35:33,29.497,29.497
2,8,Fernando AlonsoALO,Renault,30,14:45:50,28.564,57.278
2,19,Jos VerstappenVER,Minardi Cosworth,29,14:46:35,30.253,1:00.205
2,15,Justin WilsonWIL,Jaguar Cosworth,30,14:47:05,29.171,1:01.012
2,14,Mark WebberWEB,Jaguar Cosworth,31,14:47:55,29.351,58.331
2,7,Jarno TrulliTRU,Renault,32,14:49:27,28.343,55.815
2,6,Kimi RäikkönenRAI,McLaren Mercedes,33,14:50:28,28.913,58.095
2,18,Nicolas KiesaKIE,Minardi Cosworth,32,14:52:05,31.051,1:02.722
2,4,Ralf SchumacherRSC,Williams BMW,34,14:52:15,27.490,58.722
2,9,Nick HeidfeldHEI,Sauber Petronas,34,14:52:34,28.186,57.230
2,3,Juan Pablo MontoyaMOY,Williams BMW,35,14:53:36,28.187,56.785
2,21,Cristiano da MattaDAM,Toyota,34,14:54:24,28.238,57.470
2,1,Michael SchumacherMSC,Ferrari,39,14:59:18,34.054,1:02.998
2,5,David CoulthardCOU,McLaren Mercedes,43,15:04:58,31.537,1:03.073
2,17,Jenson ButtonBUT,BAR Honda,43,15:05:51,31.996,1:03.141
3,8,Fernando AlonsoALO,Renault,49,15:12:38,29.454,1:26.732
3,14,Mark WebberWEB,Jaguar Cosworth,50,15:14:59,30.306,1:28.637
3,1,Michael SchumacherMSC,Ferrari,50,15:15:18,27.894,1:30.892
3,6,Kimi RäikkönenRAI,McLaren Mercedes,51,15:15:52,29.725,1:27.820
3,3,Juan Pablo MontoyaMOY,Williams BMW,51,15:16:07,28.549,1:25.334
3,19,Jos VerstappenVER,Minardi Cosworth,49,15:16:23,29.332,1:29.537
3,7,Jarno TrulliTRU,Renault,52,15:18:04,27.855,1:23.670
3,9,Nick HeidfeldHEI,Sauber Petronas,52,15:18:27,28.499,1:25.729
3,4,Ralf SchumacherRSC,Williams BMW,53,15:19:04,28.706,1:27.428
3,18,Nicolas KiesaKIE,Minardi Cosworth,50,15:19:09,31.849,1:34.571
3,21,Cristiano da MattaDAM,Toyota,52,15:20:09,28.153,1:25.623
