Pos,No,Driver,Car,Time
1,3,Mike HawthornHAW,Ferrari,9:14.000
2,8,Tony BrooksBRO,Vanwall,9:15.000
3,7,Stirling MossMOS,Vanwall,9:19.100
4,2,Peter CollinsCOL,Ferrari,9:21.900
5,4,Wolfgang von TripsVON,Ferrari,9:24.700
6,10,Roy SalvadoriSAL,Cooper Climax,9:35.300
7,11,Maurice  TrintignantTRI,Cooper Climax,9:36.900
8,6,Harry SchellSCH,BRM,9:39.600
9,5,Jean BehraBEH,BRM,9:46.800
10,23,Phil HillHIL,Ferrari,9:48.900
11,26,Ian Burgess BUR,Cooper Climax,9:55.300
12,20,Bruce McLarenMCL,Cooper Climax,9:56.000
13,21,Edgar BarthBAR,Porsche,9:57.200
14,30,Tony  Marsh MAR,Cooper Climax,9:57.500
15,18,Carel Godin de Beaufort DEB,Porsche,10:01.500
16,28,Ivor  Bueb BUE,Lotus Climax,10:02.600
17,22,Wolfgang SeidelSEI,Maserati,10:21.000
18,19,Dick   GibsonGIB,Cooper Climax,10:55.000
19,24,Jack BrabhamBRA,Cooper Climax,9:43.400
20,17,Hans  HerrmannHER,Maserati,10:13.500
21,16,Jo BonnierBON,Maserati,9:42.700
22,25,Graham HillHIL,Lotus Climax,18:56.000
23,27,Christian  Goethals GOE,Cooper Climax,11:22.900
24,12,Cliff AllisonALL,Lotus Climax,9:44.300
25,29,Brian  Naylor NAY,Cooper Climax,10:17.900
