Pos,No,Driver,Car,Time
1,6,Mike HawthornHAW,Ferrari,2:23.100
2,8,Stirling MossMOS,Vanwall,2:23.200
3,12,Stuart  Lewis-Evans LEW,Vanwall,2:23.700
4,14,Jean BehraBEH,BRM,2:23.800
5,4,Phil HillHIL,Ferrari,2:24.100
6,2,Olivier  GendebienGEN,Ferrari,2:24.300
7,10,Tony BrooksBRO,Vanwall,2:24.400
8,18,Jo BonnierBON,BRM,2:24.900
9,38,Maurice  TrintignantTRI,Cooper Climax,2:26.100
10,16,Harry SchellSCH,BRM,2:26.400
11,32,Jack  FairmanFAI,Cooper Climax,2:27.000
12,36,Graham HillHIL,Lotus Climax,2:27.100
13,22,Masten GregoryGRE,Maserati,2:27.600
14,30,Roy SalvadoriSAL,Cooper Climax,2:28.600
15,20,Ron FlockhartFLO,BRM,2:29.800
16,34,Cliff AllisonALL,Lotus Climax,2:33.700
17,28,Gerino  Gerini GER,Maserati,2:35.100
18,24,Hans  HerrmannHER,Maserati,2:35.100
19,50,Jack BrabhamBRA,Cooper Climax,2:36.600
20,26,Wolfgang SeidelSEI,Maserati,2:38.200
21,52,Bruce McLarenMCL,Cooper Climax,2:41.200
22,56,Tom BridgerBRI,Cooper Climax,2:42.500
23,58,Robert La CazeLAC,Cooper Climax,2:43.100
24,54,Francois PicardPIC,Cooper Climax,2:46.600
25,60,Andre GuelfiGUE,Cooper Climax,2:47.000
