Pos,No,Driver,Car,Laps,Time/retired,Pts
1,28,Gerhard BergerBER,Ferrari,51,1:17:39.744,9
2,27,Michele AlboretoALB,Ferrari,51,+0.502s,6
3,18,Eddie  CheeverCHE,Arrows Megatron,51,+35.532s,4
4,17,Derek WarwickWAR,Arrows Megatron,51,+36.114s,3
5,16,Ivan CapelliCAP,March Judd,51,+52.522s,2
6,20,Thierry BoutsenBOU,Benetton Ford,51,+59.878s,1
7,6,Riccardo PatresePAT,Williams Judd,51,+74.743s,0
8,15,Mauricio GugelminGUG,March Judd,51,+92.566s,0
9,19,Alessandro NanniniNAN,Benetton Ford,50,+1 lap,0
10,12,Ayrton SennaSEN,McLaren Honda,49,DNF,0
11,5,Jean Louis SchlesserSCH,Williams Judd,49,+2 laps,0
12,4,Julian BaileyBAI,Tyrrell Ford,49,+2 laps,0
13,25,Rene ArnouxARN,Ligier Judd,49,+2 laps,0
NC,11,Alain ProstPRO,McLaren Honda,34,DNF,0
NC,30,Philippe AlliotALL,Lola Ford,33,DNF,0
NC,14,Philippe StreiffSTR,AGS Ford,31,DNF,0
NC,10,Bernd SchneiderSCH,Zakspeed,28,DNF,0
NC,22,Andrea de CesarisDEC,Rial Ford,27,DNF,0
NC,9,Piercarlo GhinzaniGHI,Zakspeed,25,DNF,0
NC,36,Alex CaffiCAF,Dallara Ford,24,DNF,0
NC,29,Yannick DalmasDAL,Lola Ford,17,DNF,0
NC,23,Pierluigi MartiniMAR,Minardi Ford,15,DNF,0
NC,2,Satoru NakajimaNAK,Lotus Honda,14,DNF,0
NC,24,Luis Perez-SalaPER,Minardi Ford,12,DNF,0
NC,1,Nelson PiquetPIQ,Lotus Honda,11,DNF,0
NC,21,Nicola LariniLAR,Osella,2,DNF,0
