Pos,No,Driver,Car,Time,Gap,Laps
1,2,Rubens BarrichelloBAR,Ferrari,1:09.241,,45
2,3,Juan Pablo MontoyaMOY,Williams BMW,1:09.301,+0.060s,37
3,1,Michael SchumacherMSC,Ferrari,1:09.331,+0.090s,36
4,4,Ralf SchumacherRSC,Williams BMW,1:09.418,+0.177s,41
5,7,Jarno TrulliTRU,Renault,1:09.704,+0.463s,52
6,16,Jacques VilleneuveVIL,BAR Honda,1:09.708,+0.467s,47
7,6,Kimi RäikkönenRAI,McLaren Mercedes,1:09.870,+0.629s,34
8,14,Mark WebberWEB,Jaguar Cosworth,1:09.891,+0.650s,43
9,8,Fernando AlonsoALO,Renault,1:09.923,+0.682s,46
10,11,Giancarlo FisichellaFIS,Jordan Ford,1:10.018,+0.777s,28
11,9,Nick HeidfeldHEI,Sauber Petronas,1:10.044,+0.803s,40
12,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:10.057,+0.816s,38
13,20,Olivier PanisPAN,Toyota,1:10.076,+0.835s,39
14,17,Jenson ButtonBUT,BAR Honda,1:10.212,+0.971s,34
15,5,David CoulthardCOU,McLaren Mercedes,1:10.222,+0.981s,38
16,21,Cristiano da MattaDAM,Toyota,1:10.370,+1.129s,39
17,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:10.456,+1.215s,40
18,12,Ralph FirmanFIR,Jordan Ford,1:11.413,+2.172s,36
19,19,Jos VerstappenVER,Minardi Cosworth,1:11.546,+2.305s,22
20,18,Justin WilsonWIL,Minardi Cosworth,1:11.936,+2.695s,31
