Pos,No,Driver,Car,Time,Gap,Laps
1,5,Ralf SchumacherRSC,Williams BMW,1:15.355,,30
2,6,Juan Pablo MontoyaMOY,Williams BMW,1:15.749,+0.394s,28
3,2,Rubens BarrichelloBAR,Ferrari,1:15.855,+0.500s,30
4,3,Mika HakkinenHAK,McLaren Mercedes,1:16.038,+0.683s,27
5,4,David CoulthardCOU,McLaren Mercedes,1:16.237,+0.882s,32
6,1,Michael SchumacherMSC,Ferrari,1:16.308,+0.953s,12
7,12,Jarno TrulliTRU,Jordan Honda,1:16.385,+1.030s,31
8,11,Heinz-Harald FrentzenFRE,Jordan Honda,1:16.407,+1.052s,29
9,9,Olivier PanisPAN,BAR Honda,1:16.625,+1.270s,33
10,17,Kimi RäikkönenRAI,Sauber Petronas,1:16.852,+1.497s,21
11,16,Nick HeidfeldHEI,Sauber Petronas,1:16.941,+1.586s,23
12,10,Jacques VilleneuveVIL,BAR Honda,1:17.006,+1.651s,28
13,18,Eddie IrvineIRV,Jaguar Cosworth,1:17.609,+2.254s,28
14,15,Enrique BernoldiBER,Arrows Asiatech,1:17.686,+2.331s,25
15,23,Luciano BurtiBUR,Prost Acer,1:17.688,+2.333s,37
16,7,Giancarlo FisichellaFIS,Benetton Renault,1:17.785,+2.430s,31
17,22,Jean AlesiALE,Prost Acer,1:17.839,+2.484s,24
18,19,Pedro de la RosaDLR,Jaguar Cosworth,1:18.048,+2.693s,31
19,14,Jos VerstappenVER,Arrows Asiatech,1:18.123,+2.768s,28
20,8,Jenson ButtonBUT,Benetton Renault,1:18.674,+3.319s,29
21,21,Fernando AlonsoALO,Minardi European,1:19.164,+3.809s,29
22,20,Tarso MarquesMAR,Minardi European,1:20.208,+4.853s,22
