Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Ferrari,1:23.178,,14
2,6,Juan Pablo MontoyaMOY,Williams BMW,1:23.477,+0.299s,19
3,11,Jarno TrulliTRU,Jordan Honda,1:23.762,+0.584s,19
4,2,Rubens BarrichelloBAR,Ferrari,1:23.828,+0.650s,19
5,4,David CoulthardCOU,McLaren Mercedes,1:23.873,+0.695s,17
6,5,Ralf SchumacherRSC,Williams BMW,1:23.917,+0.739s,19
7,16,Nick HeidfeldHEI,Sauber Petronas,1:24.251,+1.073s,35
8,3,Mika HakkinenHAK,McLaren Mercedes,1:24.263,+1.085s,18
9,19,Pedro de la RosaDLR,Jaguar Cosworth,1:24.575,+1.397s,25
10,17,Kimi RäikkönenRAI,Sauber Petronas,1:24.586,+1.408s,35
11,18,Eddie IrvineIRV,Jaguar Cosworth,1:24.642,+1.464s,24
12,7,Giancarlo FisichellaFIS,Benetton Renault,1:24.683,+1.505s,14
13,12,Jean AlesiALE,Jordan Honda,1:24.928,+1.750s,10
14,9,Olivier PanisPAN,BAR Honda,1:24.990,+1.812s,27
15,8,Jenson ButtonBUT,Benetton Renault,1:25.062,+1.884s,12
16,10,Jacques VilleneuveVIL,BAR Honda,1:25.258,+2.080s,16
17,22,Heinz-Harald FrentzenFRE,Prost Acer,1:25.600,+2.422s,20
18,14,Jos VerstappenVER,Arrows Asiatech,1:26.285,+3.107s,24
19,15,Enrique BernoldiBER,Arrows Asiatech,1:27.309,+4.131s,23
20,23,Tomas EngeENG,Prost Acer,1:28.064,+4.886s,17
21,20,Alex YoongYOO,Minardi European,36:03.692,,2
22,21,Fernando AlonsoALO,Minardi European,1:42:45.315,,2
