Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,McLaren Honda,1:25.974
2,11,Alain ProstPRO,McLaren Honda,1:26.277
3,28,Gerhard BergerBER,Ferrari,1:26.654
4,27,Michele AlboretoALB,Ferrari,1:26.988
5,18,Eddie  CheeverCHE,Arrows Megatron,1:27.660
6,17,Derek WarwickWAR,Arrows Megatron,1:27.815
7,1,Nelson PiquetPIQ,Lotus Honda,1:28.044
8,20,Thierry BoutsenBOU,Benetton Ford,1:28.870
9,19,Alessandro NanniniNAN,Benetton Ford,1:28.958
10,6,Riccardo PatresePAT,Williams Judd,1:29.435
11,16,Ivan CapelliCAP,March Judd,1:29.513
12,2,Satoru NakajimaNAK,Lotus Honda,1:29.541
13,15,Mauricio GugelminGUG,March Judd,1:30.035
14,23,Pierluigi MartiniMAR,Minardi Ford,1:30.125
15,10,Bernd SchneiderSCH,Zakspeed,1:30.161
16,9,Piercarlo GhinzaniGHI,Zakspeed,1:30.476
17,21,Nicola LariniLAR,Osella,1:30.481
18,22,Andrea de CesarisDEC,Rial Ford,1:30.560
19,24,Luis Perez-SalaPER,Minardi Ford,1:30.698
20,30,Philippe AlliotALL,Lola Ford,1:30.962
21,36,Alex CaffiCAF,Dallara Ford,1:30.989
22,5,Jean Louis SchlesserSCH,Williams Judd,1:31.548
23,14,Philippe StreiffSTR,AGS Ford,1:31.676
24,25,Rene ArnouxARN,Ligier Judd,1:32.049
25,29,Yannick DalmasDAL,Lola Ford,1:32.164
26,4,Julian BaileyBAI,Tyrrell Ford,1:32.290
