Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,McLaren Honda,1:27.148
2,11,Alain ProstPRO,McLaren Honda,1:27.919
3,1,Nelson PiquetPIQ,Lotus Honda,1:30.500
4,19,Alessandro NanniniNAN,Benetton Ford,1:30.590
5,28,Gerhard BergerBER,Ferrari,1:30.683
6,6,Riccardo PatresePAT,Williams Judd,1:30.952
7,18,Eddie  CheeverCHE,Arrows Megatron,1:31.300
8,20,Thierry BoutsenBOU,Benetton Ford,1:31.414
9,16,Ivan CapelliCAP,March Judd,1:31.519
10,27,Michele AlboretoALB,Ferrari,1:31.520
11,5,Nigel MansellMAN,Williams Judd,1:31.635
12,2,Satoru NakajimaNAK,Lotus Honda,1:31.647
13,14,Philippe StreiffSTR,AGS Ford,1:32.013
14,17,Derek WarwickWAR,Arrows Megatron,1:32.483
15,30,Philippe AlliotALL,Lola Ford,1:32.712
16,22,Andrea de CesarisDEC,Rial Ford,1:33.037
17,31,Gabriele TarquiniTAR,Coloni Ford,1:33.236
18,24,Luis Perez-SalaPER,Minardi Ford,1:33.239
19,29,Yannick DalmasDAL,Lola Ford,1:33.374
20,15,Mauricio GugelminGUG,March Judd,1:33.448
21,4,Julian BaileyBAI,Tyrrell Ford,1:33.874
22,23,Adrian CamposCAM,Minardi Ford,1:33.903
23,3,Jonathan  PalmerPAL,Tyrrell Ford,1:33.972
24,36,Alex CaffiCAF,Dallara Ford,1:34.204
25,9,Piercarlo GhinzaniGHI,Zakspeed,1:34.567
26,33,Stefano ModenaMOD,Euro Brun Ford,1:34.782
