Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,78,1:59:29.133,25
2,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,78,+7.252s,18
3,11,Sergio PerezPER,Force India Mercedes,78,+13.825s,15
4,5,Sebastian VettelVET,Ferrari,78,+15.846s,12
5,14,Fernando AlonsoALO,McLaren Honda,78,+85.076s,10
6,27,Nico HulkenbergHUL,Force India Mercedes,78,+92.999s,8
7,6,Nico RosbergROS,Mercedes,78,+93.290s,6
8,55,Carlos SainzSAI,Toro Rosso Ferrari,77,+1 lap,4
9,22,Jenson ButtonBUT,McLaren Honda,77,+1 lap,2
10,19,Felipe MassaMAS,Williams Mercedes,77,+1 lap,1
11,21,Esteban Gutierrez GUT,Haas Ferrari,77,+1 lap,0
12,77,Valtteri BottasBOT,Williams Mercedes,77,+1 lap,0
13,8,Romain GrosjeanGRO,Haas Ferrari,76,+2 laps,0
14,94,Pascal WehrleinWEH,MRT Mercedes,76,+2 laps,0
15,88,Rio HaryantoHAR,MRT Mercedes,74,+4 laps,0
NC,9,Marcus EricssonERI,Sauber Ferrari,51,DNF,0
NC,12,Felipe NasrNAS,Sauber Ferrari,48,DNF,0
NC,33,Max VerstappenVER,Red Bull Racing TAG Heuer,34,DNF,0
NC,20,Kevin MagnussenMAG,Renault,32,DNF,0
NC,26,Daniil KvyatKVY,Toro Rosso Ferrari,18,DNF,0
NC,7,Kimi RäikkönenRAI,Ferrari,10,DNF,0
NC,30,Jolyon PalmerPAL,Renault,7,DNF,0
