Pos,No,Driver,Car,Laps,Time/retired,Pts
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,56,1:37:12.776,25
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,56,+2.443s,18
3,6,Nico RosbergROS,Mercedes,56,+25.516s,15
4,7,Kimi RäikkönenRAI,Ferrari,56,+28.785s,12
5,77,Valtteri BottasBOT,Williams Mercedes,56,+61.582s,10
6,11,Sergio PerezPER,Force India Mercedes,56,+63.794s,8
7,14,Fernando AlonsoALO,McLaren Honda,56,+65.205s,6
8,27,Nico HulkenbergHUL,Force India Mercedes,56,+74.062s,4
9,22,Jenson ButtonBUT,McLaren Honda,56,+81.816s,2
10,30,Jolyon PalmerPAL,Renault,56,+95.466s,1
11,55,Carlos SainzSAI,Toro Rosso Ferrari,56,+98.878s,0
12,9,Marcus EricssonERI,Sauber Ferrari,55,+1 lap,0
13,19,Felipe MassaMAS,Williams Mercedes,55,+1 lap,0
14,26,Daniil KvyatKVY,Toro Rosso Ferrari,55,+1 lap,0
15,94,Pascal WehrleinWEH,MRT Mercedes,55,+1 lap,0
16,31,Esteban OconOCO,MRT Mercedes,55,+1 lap,0
NC,12,Felipe NasrNAS,Sauber Ferrari,46,DNF,0
NC,44,Lewis HamiltonHAM,Mercedes,40,DNF,0
NC,21,Esteban Gutierrez GUT,Haas Ferrari,39,DNF,0
NC,20,Kevin MagnussenMAG,Renault,17,DNF,0
NC,8,Romain GrosjeanGRO,Haas Ferrari,7,DNF,0
NC,5,Sebastian VettelVET,Ferrari,0,DNF,0
