Pos,No,Driver,Car,Lap,Time
1,27,Ayrton SennaSEN,McLaren Honda,59,1:24.468
2,2,Nigel MansellMAN,Ferrari,47,1:24.971
3,28,Gerhard BergerBER,McLaren Honda,48,1:25.021
4,4,Jean AlesiALE,Tyrrell Ford,62,1:25.353
5,1,Alain ProstPRO,Ferrari,17,1:25.888
6,6,Riccardo PatresePAT,Williams Renault,9,1:26.255
7,5,Thierry BoutsenBOU,Williams Renault,18,1:26.366
8,10,Alex CaffiCAF,Arrows Ford,63,1:26.421
9,29,Eric BernardBER,Lola Lamborghini,60,1:26.635
10,22,Andrea de CesarisDEC,Dallara Ford,10,1:26.931
11,35,Gregor FoitekFOI,Onyx Ford,66,1:27.296
12,11,Derek WarwickWAR,Lotus Lamborghini,26,1:27.339
13,24,Paolo BarillaBAR,Minardi Ford,51,1:27.539
14,19,Alessandro NanniniNAN,Benetton Ford,20,1:27.542
15,3,Satoru NakajimaNAK,Tyrrell Ford,31,1:27.557
16,26,Philippe AlliotALL,Ligier Ford,47,1:28.265
17,12,Martin DonnellyDON,Lotus Lamborghini,5,1:28.366
18,36,Jyrki JarvilehtoJAR,Onyx Ford,29,1:28.587
19,23,Pierluigi MartiniMAR,Minardi Ford,4,1:28.700
20,30,Aguri SuzukiSUZ,Lola Lamborghini,5,1:28.872
21,25,Nicola LariniLAR,Ligier Ford,10,1:29.165
22,16,Ivan CapelliCAP,Leyton House Judd,11,1:29.374
23,7,David BrabhamBRA,Brabham Judd,9,1:31.639
24,8,Stefano ModenaMOD,Brabham Judd,2,1:32.072
