Pos,No,Driver,Car,Lap,Time
1,19,Alessandro NanniniNAN,Benetton Ford,60,1:27.156
2,1,Alain ProstPRO,Ferrari,56,1:27.164
3,6,Riccardo PatresePAT,Williams Renault,42,1:27.475
4,2,Nigel MansellMAN,Ferrari,38,1:27.626
5,28,Gerhard BergerBER,McLaren Honda,48,1:27.636
6,20,Nelson PiquetPIQ,Benetton Ford,37,1:28.558
7,5,Thierry BoutsenBOU,Williams Renault,14,1:28.840
8,4,Jean AlesiALE,Tyrrell Ford,46,1:29.144
9,12,Martin DonnellyDON,Lotus Lamborghini,58,1:29.527
10,29,Eric BernardBER,Lola Lamborghini,34,1:29.731
11,26,Philippe AlliotALL,Ligier Ford,44,1:29.813
12,11,Derek WarwickWAR,Lotus Lamborghini,56,1:29.829
13,25,Nicola LariniLAR,Ligier Ford,55,1:30.461
14,27,Ayrton SennaSEN,McLaren Honda,3,1:30.615
15,24,Paolo BarillaBAR,Minardi Ford,55,1:30.848
16,30,Aguri SuzukiSUZ,Lola Lamborghini,14,1:31.136
17,36,Jyrki JarvilehtoJAR,Onyx Ford,35,1:31.374
18,8,Stefano ModenaMOD,Brabham Judd,21,1:31.661
19,35,Gregor FoitekFOI,Onyx Ford,34,1:31.964
20,14,Olivier GrouillardGRO,Osella Ford,52,1:32.011
21,22,Andrea de CesarisDEC,Dallara Ford,21,1:32.125
22,15,Mauricio GugelminGUG,Leyton House Judd,9,1:32.547
23,21,Emanuele PirroPIR,Dallara Ford,2,1:34.266
