Pos,No,Driver,Car,Lap,Time
1,6,Riccardo PatresePAT,Williams Renault,56,1:18.306
2,19,Alessandro NanniniNAN,Benetton Ford,59,1:18.355
3,1,Alain ProstPRO,Ferrari,52,1:18.396
4,28,Gerhard BergerBER,McLaren Honda,52,1:18.438
5,2,Nigel MansellMAN,Ferrari,49,1:18.577
6,27,Ayrton SennaSEN,McLaren Honda,48,1:18.936
7,20,Nelson PiquetPIQ,Benetton Ford,54,1:19.713
8,30,Aguri SuzukiSUZ,Lola Lamborghini,41,1:20.349
9,5,Thierry BoutsenBOU,Williams Renault,29,1:20.575
10,9,Michele AlboretoALB,Arrows Ford,55,1:20.792
11,26,Philippe AlliotALL,Ligier Ford,41,1:20.914
12,4,Jean AlesiALE,Tyrrell Ford,32,1:20.916
13,25,Nicola LariniLAR,Ligier Ford,55,1:20.958
14,23,Pierluigi MartiniMAR,Minardi Ford,35,1:21.186
15,16,Ivan CapelliCAP,Leyton House Judd,47,1:21.623
16,10,Alex CaffiCAF,Arrows Ford,33,1:21.843
17,15,Mauricio GugelminGUG,Leyton House Judd,32,1:21.894
18,21,Emanuele PirroPIR,Dallara Ford,40,1:22.231
19,7,David BrabhamBRA,Brabham Judd,28,1:22.275
20,29,Eric BernardBER,Lola Lamborghini,21,1:22.434
21,12,Martin DonnellyDON,Lotus Lamborghini,11,1:22.625
22,8,Stefano ModenaMOD,Brabham Judd,18,1:23.232
23,11,Derek WarwickWAR,Lotus Lamborghini,4,1:23.510
24,18,Yannick DalmasDAL,AGS Ford,3,1:24.879
