Pos,No,Driver,Car,Lap,Time
1,28,Gerhard BergerBER,McLaren Honda,70,1:22.077
2,2,Nigel MansellMAN,Ferrari,63,1:22.839
3,20,Nelson PiquetPIQ,Benetton Ford,58,1:22.854
4,1,Alain ProstPRO,Ferrari,63,1:23.078
5,27,Ayrton SennaSEN,McLaren Honda,63,1:23.375
6,30,Aguri SuzukiSUZ,Lola Lamborghini,66,1:24.678
7,10,Alex CaffiCAF,Arrows Ford,61,1:24.770
8,4,Jean AlesiALE,Tyrrell Ford,19,1:24.781
9,11,Derek WarwickWAR,Lotus Lamborghini,52,1:24.948
10,12,Martin DonnellyDON,Lotus Lamborghini,49,1:25.430
11,19,Alessandro NanniniNAN,Benetton Ford,21,1:25.545
12,6,Riccardo PatresePAT,Williams Renault,26,1:25.566
13,29,Eric BernardBER,Lola Lamborghini,50,1:25.571
14,8,Stefano ModenaMOD,Brabham Judd,63,1:25.693
15,16,Ivan CapelliCAP,Leyton House Judd,61,1:25.846
16,22,Andrea de CesarisDEC,Dallara Ford,43,1:26.158
17,35,Gregor FoitekFOI,Onyx Ford,46,1:26.177
18,5,Thierry BoutsenBOU,Williams Renault,19,1:26.486
19,3,Satoru NakajimaNAK,Tyrrell Ford,51,1:26.703
20,26,Philippe AlliotALL,Ligier Ford,22,1:27.373
21,14,Olivier GrouillardGRO,Osella Ford,44,1:28.108
22,36,Jyrki JarvilehtoJAR,Onyx Ford,25,1:29.032
23,25,Nicola LariniLAR,Ligier Ford,15,1:34.545
24,9,Michele AlboretoALB,Arrows Ford,10,1:39.464
25,21,Emanuele PirroPIR,Dallara Ford,10,1:40.699
