Pos,No,Driver,Car,Lap,Time
1,5,Thierry BoutsenBOU,Williams Renault,31,1:45.602
2,27,Ayrton SennaSEN,McLaren Honda,36,1:45.711
3,28,Gerhard BergerBER,McLaren Honda,33,1:46.098
4,19,Alessandro NanniniNAN,Benetton Ford,27,1:46.146
5,1,Alain ProstPRO,Ferrari,27,1:46.839
6,6,Riccardo PatresePAT,Williams Renault,27,1:46.891
7,20,Nelson PiquetPIQ,Benetton Ford,20,1:46.949
8,2,Nigel MansellMAN,Ferrari,11,1:47.268
9,4,Jean AlesiALE,Tyrrell Ford,24,1:48.421
10,25,Nicola LariniLAR,Ligier Ford,42,1:48.502
11,11,Derek WarwickWAR,Lotus Lamborghini,28,1:48.547
12,16,Ivan CapelliCAP,Leyton House Judd,26,1:48.799
13,10,Alex CaffiCAF,Arrows Ford,33,1:49.054
14,29,Eric BernardBER,Lola Lamborghini,29,1:49.071
15,30,Aguri SuzukiSUZ,Lola Lamborghini,24,1:49.128
16,3,Satoru NakajimaNAK,Tyrrell Ford,17,1:49.896
17,36,Jyrki JarvilehtoJAR,Onyx Ford,31,1:50.173
18,15,Mauricio GugelminGUG,Leyton House Judd,8,1:50.255
19,23,Pierluigi MartiniMAR,Minardi Ford,11,1:51.326
20,35,Gregor FoitekFOI,Onyx Ford,12,1:51.456
21,7,David BrabhamBRA,Brabham Judd,6,1:52.018
22,9,Michele AlboretoALB,Arrows Ford,7,1:52.041
23,12,Martin DonnellyDON,Lotus Lamborghini,1,2:07.152
