Pos,No,Driver,Car,Lap,Time
1,2,Nigel MansellMAN,Ferrari,51,1:11.291
2,1,Alain ProstPRO,Ferrari,56,1:11.526
3,16,Ivan CapelliCAP,Leyton House Judd,37,1:11.712
4,30,Aguri SuzukiSUZ,Lola Lamborghini,59,1:12.227
5,27,Ayrton SennaSEN,McLaren Honda,57,1:12.250
6,28,Gerhard BergerBER,McLaren Honda,53,1:12.393
7,4,Jean AlesiALE,Tyrrell Ford,44,1:12.639
8,20,Nelson PiquetPIQ,Benetton Ford,53,1:12.723
9,5,Thierry BoutsenBOU,Williams Renault,56,1:12.879
10,29,Eric BernardBER,Lola Lamborghini,50,1:13.088
11,12,Martin DonnellyDON,Lotus Lamborghini,48,1:13.204
12,8,Stefano ModenaMOD,Brabham Judd,56,1:13.338
13,19,Alessandro NanniniNAN,Benetton Ford,12,1:13.405
14,10,Alex CaffiCAF,Arrows Ford,59,1:13.573
15,21,Emanuele PirroPIR,Dallara Ford,57,1:13.731
16,9,Michele AlboretoALB,Arrows Ford,36,1:13.932
17,6,Riccardo PatresePAT,Williams Renault,20,1:14.130
18,11,Derek WarwickWAR,Lotus Lamborghini,46,1:14.416
19,26,Philippe AlliotALL,Ligier Ford,59,1:14.848
20,25,Nicola LariniLAR,Ligier Ford,57,1:14.953
21,3,Satoru NakajimaNAK,Tyrrell Ford,20,1:15.192
22,24,Paolo BarillaBAR,Minardi Ford,47,1:15.607
23,17,Gabriele TarquiniTAR,AGS Ford,39,1:15.889
24,22,Andrea de CesarisDEC,Dallara Ford,6,1:16.039
25,23,Pierluigi MartiniMAR,Minardi Ford,2,1:17.827
