Pos,No,Driver,Car,Lap,Time
1,6,Riccardo PatresePAT,Williams Renault,40,1:44.233
2,30,Aguri SuzukiSUZ,Lola Lamborghini,40,1:44.850
3,20,Nelson PiquetPIQ,Benetton Ford,47,1:45.114
4,19,Roberto MorenoMOR,Benetton Ford,45,1:45.539
5,5,Thierry BoutsenBOU,Williams Renault,47,1:45.706
6,3,Satoru NakajimaNAK,Tyrrell Ford,27,1:45.887
7,11,Derek WarwickWAR,Lotus Lamborghini,23,1:46.042
8,26,Philippe AlliotALL,Ligier Ford,44,1:46.106
9,2,Nigel MansellMAN,Ferrari,22,1:46.272
10,12,Johnny HerbertHER,Lotus Lamborghini,27,1:46.463
11,25,Nicola LariniLAR,Ligier Ford,21,1:46.681
12,10,Alex CaffiCAF,Arrows Ford,42,1:46.849
13,23,Pierluigi MartiniMAR,Minardi Ford,43,1:46.897
14,9,Michele AlboretoALB,Arrows Ford,27,1:47.094
15,29,Eric BernardBER,Lola Lamborghini,19,1:47.518
16,16,Ivan CapelliCAP,Leyton House Judd,9,1:48.035
17,21,Emanuele PirroPIR,Dallara Ford,18,1:48.506
18,24,Gianni MorbidelliMOR,Minardi Ford,15,1:48.865
19,15,Mauricio GugelminGUG,Leyton House Judd,5,1:49.471
20,28,Gerhard BergerBER,McLaren Honda,1,1:49.573
21,22,Andrea de CesarisDEC,Dallara Ford,13,1:49.761
22,7,David BrabhamBRA,Brabham Judd,2,1:54.765
