Pos,No,Driver,Car,Lap,Time
1,28,Gerhard BergerBER,McLaren Honda,55,1:19.899
2,1,Alain ProstPRO,Ferrari,57,1:20.010
3,27,Ayrton SennaSEN,McLaren Honda,42,1:20.067
4,5,Thierry BoutsenBOU,Williams Renault,38,1:20.089
5,6,Riccardo PatresePAT,Williams Renault,45,1:20.132
6,2,Nigel MansellMAN,Ferrari,61,1:20.389
7,20,Nelson PiquetPIQ,Benetton Ford,61,1:20.650
8,23,Pierluigi MartiniMAR,Minardi Ford,54,1:21.799
9,19,Alessandro NanniniNAN,Benetton Ford,52,1:21.820
10,3,Satoru NakajimaNAK,Tyrrell Ford,38,1:22.398
11,4,Jean AlesiALE,Tyrrell Ford,38,1:22.536
12,25,Nicola LariniLAR,Ligier Ford,60,1:22.649
13,12,Martin DonnellyDON,Lotus Lamborghini,43,1:22.899
14,18,Yannick DalmasDAL,AGS Ford,27,1:22.948
15,21,Gianni MorbidelliMOR,Dallara Ford,58,1:22.987
16,26,Philippe AlliotALL,Ligier Ford,58,1:23.115
17,8,Stefano ModenaMOD,Brabham Judd,30,1:23.255
18,9,Michele AlboretoALB,Arrows Ford,21,1:23.292
19,11,Derek WarwickWAR,Lotus Lamborghini,17,1:23.390
20,30,Aguri SuzukiSUZ,Lola Lamborghini,21,1:23.491
21,10,Alex CaffiCAF,Arrows Ford,22,1:23.671
22,24,Paolo BarillaBAR,Minardi Ford,29,1:24.177
23,29,Eric BernardBER,Lola Lamborghini,11,1:24.658
24,7,Gregor FoitekFOI,Brabham Judd,10,1:24.922
25,14,Olivier GrouillardGRO,Osella Ford,6,1:25.308
