Pos,No,Driver,Car,Lap,Time
1,27,Ayrton SennaSEN,McLaren Honda,46,1:26.254
2,1,Alain ProstPRO,Ferrari,42,1:26.376
3,28,Gerhard BergerBER,McLaren Honda,46,1:26.650
4,2,Nigel MansellMAN,Ferrari,37,1:27.776
5,20,Nelson PiquetPIQ,Benetton Ford,45,1:27.882
6,19,Alessandro NanniniNAN,Benetton Ford,12,1:28.483
7,6,Riccardo PatresePAT,Williams Renault,40,1:28.608
8,5,Thierry BoutsenBOU,Williams Renault,18,1:28.672
9,3,Satoru NakajimaNAK,Tyrrell Ford,46,1:28.777
10,16,Ivan CapelliCAP,Leyton House Judd,36,1:29.112
11,30,Aguri SuzukiSUZ,Lola Lamborghini,28,1:29.138
12,15,Mauricio GugelminGUG,Leyton House Judd,20,1:29.298
13,4,Jean AlesiALE,Tyrrell Ford,4,1:29.386
14,22,Andrea de CesarisDEC,Dallara Ford,43,1:29.750
15,10,Alex CaffiCAF,Arrows Ford,47,1:29.820
16,18,Yannick DalmasDAL,AGS Ford,44,1:29.868
17,12,Martin DonnellyDON,Lotus Lamborghini,8,1:29.876
18,29,Eric BernardBER,Lola Lamborghini,10,1:29.949
19,9,Michele AlboretoALB,Arrows Ford,38,1:30.348
20,11,Derek WarwickWAR,Lotus Lamborghini,11,1:30.521
21,25,Nicola LariniLAR,Ligier Ford,36,1:30.640
22,14,Olivier GrouillardGRO,Osella Ford,27,1:31.523
23,21,Emanuele PirroPIR,Dallara Ford,12,1:31.668
24,23,Pierluigi MartiniMAR,Minardi Ford,7,1:31.740
25,8,Stefano ModenaMOD,Brabham Judd,9,1:32.025
26,26,Philippe AlliotALL,Ligier Ford,12,1:32.881
