Pos,No,Driver,Car,Lap,Time
1,1,Alain ProstPRO,Ferrari,38,1:55.087
2,27,Ayrton SennaSEN,McLaren Honda,36,1:55.132
3,28,Gerhard BergerBER,McLaren Honda,41,1:55.531
4,19,Alessandro NanniniNAN,Benetton Ford,40,1:55.650
5,29,Eric BernardBER,Lola Lamborghini,36,1:56.531
6,20,Nelson PiquetPIQ,Benetton Ford,40,1:57.036
7,15,Mauricio GugelminGUG,Leyton House Judd,28,1:58.163
8,5,Thierry BoutsenBOU,Williams Renault,20,1:58.199
9,12,Martin DonnellyDON,Lotus Lamborghini,29,1:58.330
10,16,Ivan CapelliCAP,Leyton House Judd,40,1:58.351
11,4,Jean AlesiALE,Tyrrell Ford,39,1:58.531
12,6,Riccardo PatresePAT,Williams Renault,9,1:58.666
13,11,Derek WarwickWAR,Lotus Lamborghini,41,1:59.081
14,8,Stefano ModenaMOD,Brabham Judd,39,1:59.415
15,2,Nigel MansellMAN,Ferrari,15,1:59.767
16,25,Nicola LariniLAR,Ligier Ford,38,1:59.956
17,23,Pierluigi MartiniMAR,Minardi Ford,34,2:00.157
18,10,Alex CaffiCAF,Arrows Ford,35,2:00.610
19,9,Michele AlboretoALB,Arrows Ford,24,2:00.671
20,14,Olivier GrouillardGRO,Osella Ford,35,2:00.886
21,7,David BrabhamBRA,Brabham Judd,34,2:01.959
22,22,Andrea de CesarisDEC,Dallara Ford,9,2:02.225
23,21,Emanuele PirroPIR,Dallara Ford,3,2:03.152
24,3,Satoru NakajimaNAK,Tyrrell Ford,1,2:14.599
