Pos,No,Driver,Car,Lap,Time
1,1,Alain ProstPRO,Ferrari,58,1:17.958
2,28,Gerhard BergerBER,McLaren Honda,65,1:18.223
3,20,Nelson PiquetPIQ,Benetton Ford,65,1:18.365
4,2,Nigel MansellMAN,Ferrari,62,1:18.487
5,6,Riccardo PatresePAT,Williams Renault,48,1:18.653
6,27,Ayrton SennaSEN,McLaren Honda,41,1:19.062
7,19,Alessandro NanniniNAN,Benetton Ford,46,1:19.378
8,4,Jean AlesiALE,Tyrrell Ford,65,1:19.474
9,12,Martin DonnellyDON,Lotus Lamborghini,63,1:19.508
10,5,Thierry BoutsenBOU,Williams Renault,46,1:19.525
11,11,Derek WarwickWAR,Lotus Lamborghini,53,1:19.932
12,23,Pierluigi MartiniMAR,Minardi Ford,60,1:20.230
13,8,Stefano ModenaMOD,Brabham Judd,58,1:20.355
14,22,Andrea de CesarisDEC,Dallara Ford,48,1:20.601
15,24,Paolo BarillaBAR,Minardi Ford,56,1:20.789
16,25,Nicola LariniLAR,Ligier Ford,43,1:21.235
17,35,Gregor FoitekFOI,Onyx Ford,59,1:21.408
18,26,Philippe AlliotALL,Ligier Ford,19,1:21.467
19,3,Satoru NakajimaNAK,Tyrrell Ford,10,1:21.736
20,9,Michele AlboretoALB,Arrows Ford,35,1:22.082
21,29,Eric BernardBER,Lola Lamborghini,10,1:22.636
22,14,Olivier GrouillardGRO,Osella Ford,41,1:22.779
23,30,Aguri SuzukiSUZ,Lola Lamborghini,9,1:22.936
24,21,Emanuele PirroPIR,Dallara Ford,10,1:23.476
25,36,Jyrki JarvilehtoJAR,Onyx Ford,13,1:23.816
26,7,David BrabhamBRA,Brabham Judd,4,1:26.487
