Pos,No,Driver,Car,Lap,Time
1,2,Nigel MansellMAN,Ferrari,75,1:18.203
2,20,Nelson PiquetPIQ,Benetton Ford,79,1:18.527
3,27,Ayrton SennaSEN,McLaren Honda,50,1:19.302
4,1,Alain ProstPRO,Ferrari,70,1:19.434
5,19,Roberto MorenoMOR,Benetton Ford,38,1:19.707
6,5,Thierry BoutsenBOU,Williams Renault,59,1:19.717
7,4,Jean AlesiALE,Tyrrell Ford,59,1:19.732
8,6,Riccardo PatresePAT,Williams Renault,57,1:19.818
9,28,Gerhard BergerBER,McLaren Honda,48,1:20.025
10,25,Nicola LariniLAR,Ligier Ford,68,1:21.209
11,23,Pierluigi MartiniMAR,Minardi Ford,57,1:21.257
12,3,Satoru NakajimaNAK,Tyrrell Ford,51,1:21.713
13,26,Philippe AlliotALL,Ligier Ford,69,1:21.921
14,12,Johnny HerbertHER,Lotus Lamborghini,51,1:22.142
15,15,Mauricio GugelminGUG,Leyton House Judd,21,1:22.200
16,21,Emanuele PirroPIR,Dallara Ford,61,1:22.505
17,11,Derek WarwickWAR,Lotus Lamborghini,16,1:22.524
18,16,Ivan CapelliCAP,Leyton House Judd,43,1:22.583
19,8,Stefano ModenaMOD,Brabham Judd,55,1:22.693
20,17,Gabriele TarquiniTAR,AGS Ford,56,1:23.147
21,29,Eric BernardBER,Lola Lamborghini,18,1:23.272
22,22,Andrea de CesarisDEC,Dallara Ford,19,1:23.897
23,30,Aguri SuzukiSUZ,Lola Lamborghini,6,1:24.007
24,24,Gianni MorbidelliMOR,Minardi Ford,17,1:24.272
25,14,Olivier GrouillardGRO,Osella Ford,50,1:25.642
26,7,David BrabhamBRA,Brabham Judd,6,1:25.703
