Pos,No,Driver,Car,Lap,Time
1,6,Riccardo PatresePAT,Williams Renault,63,1:22.058
2,28,Gerhard BergerBER,McLaren Honda,52,1:22.122
3,2,Nigel MansellMAN,Ferrari,58,1:22.235
4,12,Martin DonnellyDON,Lotus Lamborghini,58,1:22.561
5,27,Ayrton SennaSEN,McLaren Honda,58,1:22.577
6,19,Alessandro NanniniNAN,Benetton Ford,58,1:22.639
7,25,Nicola LariniLAR,Ligier Ford,60,1:23.147
8,20,Nelson PiquetPIQ,Benetton Ford,59,1:23.164
9,29,Eric BernardBER,Lola Lamborghini,32,1:23.864
10,5,Thierry BoutsenBOU,Williams Renault,59,1:23.934
11,15,Mauricio GugelminGUG,Leyton House Judd,53,1:24.062
12,26,Philippe AlliotALL,Ligier Ford,66,1:24.073
13,11,Derek WarwickWAR,Lotus Lamborghini,35,1:24.140
14,1,Alain ProstPRO,Ferrari,17,1:24.214
15,16,Ivan CapelliCAP,Leyton House Judd,36,1:24.245
16,10,Alex CaffiCAF,Arrows Ford,60,1:24.388
17,4,Jean AlesiALE,Tyrrell Ford,14,1:24.414
18,9,Michele AlboretoALB,Arrows Ford,46,1:24.418
19,21,Emanuele PirroPIR,Dallara Ford,69,1:24.765
20,17,Gabriele TarquiniTAR,AGS Ford,52,1:24.921
21,30,Aguri SuzukiSUZ,Lola Lamborghini,31,1:25.209
22,22,Andrea de CesarisDEC,Dallara Ford,18,1:25.523
23,24,Paolo BarillaBAR,Minardi Ford,60,1:25.710
24,23,Pierluigi MartiniMAR,Minardi Ford,32,1:25.930
25,8,Stefano ModenaMOD,Brabham Judd,29,1:26.474
26,3,Satoru NakajimaNAK,Tyrrell Ford,5,1:27.900
