Pos,No,Driver,Car,Lap,Time,Avg speed
1,16,Nico RosbergROS,Williams Toyota,48,1:27.706,217.668
2,5,Robert KubicaKUB,Sauber BMW,36,1:27.988,216.970
3,22,Jenson ButtonBUT,Brawn Mercedes,17,1:28.020,216.891
4,15,Sebastian VettelVET,RBR Renault,8,1:28.140,216.596
5,6,Nick HeidfeldHEI,Sauber BMW,48,1:28.283,216.245
6,10,Timo GlockGLO,Toyota,53,1:28.416,215.920
7,4,Kimi RäikkönenRAI,Ferrari,35,1:28.488,215.744
8,14,Mark WebberWEB,RBR Renault,38,1:28.508,215.695
9,7,Fernando AlonsoALO,Renault,53,1:28.712,215.199
10,9,Jarno TrulliTRU,Toyota,50,1:28.916,214.706
11,20,Adrian SutilSUT,Force India Mercedes,43,1:28.943,214.640
12,21,Giancarlo FisichellaFIS,Force India Mercedes,51,1:29.005,214.491
13,1,Lewis HamiltonHAM,McLaren Mercedes,39,1:29.020,214.455
14,23,Rubens BarrichelloBAR,Brawn Mercedes,43,1:29.066,214.344
15,3,Felipe MassaMAS,Ferrari,30,1:29.141,214.164
16,12,Sebastien BuemiBUE,STR Ferrari,34,1:29.230,213.950
17,11,Sebastien BourdaisBOU,STR Ferrari,50,1:29.823,212.537
18,17,Kazuki NakajimaNAK,Williams Toyota,6,1:29.923,212.301
19,8,Nelson PiquetPIQ,Renault,17,1:30.502,210.943
