Pos,No,Driver,Car,Lap,Time,Avg speed
1,15,Sebastian VettelVET,RBR Renault,38,1:47.263,235.070
2,6,Nick HeidfeldHEI,Sauber BMW,35,1:47.371,234.834
3,5,Robert KubicaKUB,Sauber BMW,41,1:47.664,234.195
4,4,Kimi RäikkönenRAI,Ferrari,42,1:47.674,234.173
5,10,Timo GlockGLO,Toyota,40,1:47.736,234.038
6,21,Giancarlo FisichellaFIS,Force India Mercedes,43,1:47.737,234.036
7,12,Sebastien BuemiBUE,STR Ferrari,42,1:47.763,233.980
8,16,Nico RosbergROS,Williams Toyota,41,1:47.766,233.973
9,14,Mark WebberWEB,RBR Renault,39,1:47.783,233.936
10,20,Adrian SutilSUT,Force India Mercedes,42,1:47.859,233.771
11,17,Kazuki NakajimaNAK,Williams Toyota,42,1:48.205,233.024
12,23,Rubens BarrichelloBAR,Brawn Mercedes,37,1:48.257,232.912
13,2,Heikki KovalainenKOV,McLaren Mercedes,24,1:48.348,232.716
14,7,Fernando AlonsoALO,Renault,23,1:48.634,232.104
15,3,Luca BadoerBAD,Ferrari,41,1:49.803,229.633
16,9,Jarno TrulliTRU,Toyota,16,1:50.029,229.161
