Pos,No,Driver,Car,Lap,Time,Avg speed
1,7,Fernando AlonsoALO,Renault,53,1:48.240,168.725
2,1,Lewis HamiltonHAM,McLaren Mercedes,36,1:48.345,168.561
3,16,Nico RosbergROS,Williams Toyota,9,1:48.352,168.550
4,22,Jenson ButtonBUT,Brawn Mercedes,54,1:48.369,168.524
5,4,Kimi RäikkönenRAI,Ferrari,54,1:48.391,168.490
6,10,Timo GlockGLO,Toyota,34,1:48.396,168.482
7,15,Sebastian VettelVET,RBR Renault,10,1:48.398,168.479
8,23,Rubens BarrichelloBAR,Brawn Mercedes,50,1:48.598,168.168
9,9,Jarno TrulliTRU,Toyota,54,1:48.816,167.831
10,5,Robert KubicaKUB,Sauber BMW,44,1:48.847,167.784
11,2,Heikki KovalainenKOV,McLaren Mercedes,36,1:49.283,167.114
12,14,Mark WebberWEB,RBR Renault,35,1:49.319,167.059
13,17,Kazuki NakajimaNAK,Williams Toyota,45,1:49.371,166.980
14,3,Giancarlo FisichellaFIS,Ferrari,49,1:49.417,166.910
15,21,Vitantonio LiuzziLIU,Force India Mercedes,48,1:49.852,166.249
16,12,Sebastien BuemiBUE,STR Ferrari,17,1:50.636,165.071
17,6,Nick HeidfeldHEI,Sauber BMW,18,1:51.346,164.018
18,11,Jaime AlguersuariALG,STR Ferrari,32,1:52.483,162.360
19,20,Adrian SutilSUT,Force India Mercedes,15,1:52.623,162.158
20,8,Romain GrosjeanGRO,Renault,2,1:57.192,155.836
