Pos,No,Driver,Car,Lap,Time,Avg speed
1,7,Fernando AlonsoALO,Renault,49,1:33.365,198.498
2,9,Jarno TrulliTRU,Toyota,52,1:33.654,197.885
3,14,Mark WebberWEB,RBR Renault,37,1:34.003,197.151
4,15,Sebastian VettelVET,RBR Renault,42,1:34.089,196.970
5,17,Kazuki NakajimaNAK,Williams Toyota,49,1:34.238,196.659
6,22,Jenson ButtonBUT,Brawn Mercedes,53,1:34.252,196.630
7,16,Nico RosbergROS,Williams Toyota,50,1:34.403,196.315
8,3,Felipe MassaMAS,Ferrari,53,1:34.458,196.201
9,5,Robert KubicaKUB,Sauber BMW,47,1:34.537,196.037
10,6,Nick HeidfeldHEI,Sauber BMW,42,1:34.559,195.991
11,23,Rubens BarrichelloBAR,Brawn Mercedes,54,1:34.676,195.749
12,8,Nelson PiquetPIQ,Renault,46,1:34.876,195.337
13,21,Giancarlo FisichellaFIS,Force India Mercedes,54,1:35.301,194.465
14,20,Adrian SutilSUT,Force India Mercedes,43,1:35.366,194.333
15,1,Lewis HamiltonHAM,McLaren Mercedes,46,1:35.367,194.331
16,10,Timo GlockGLO,Toyota,40,1:35.369,194.327
17,2,Heikki KovalainenKOV,McLaren Mercedes,59,1:35.524,194.011
18,4,Kimi RäikkönenRAI,Ferrari,4,1:36.080,192.889
19,12,Sebastien BuemiBUE,STR Ferrari,24,1:36.279,192.490
20,11,Sebastien BourdaisBOU,STR Ferrari,10,1:37.498,190.083
