Pos,No,Driver,Car,Lap,Time
1,28,Gerhard BergerBER,Ferrari,72,1:20.416
2,12,Ayrton SennaSEN,,63,1:20.456
3,8,Andrea de CesarisDEC,Brabham BMW,65,1:20.917
4,27,Michele AlboretoALB,Ferrari,48,1:21.124
5,1,Alain ProstPRO,McLaren TAG,47,1:21.381
6,5,Riccardo PatresePAT,Williams Honda,52,1:21.491
7,6,Nelson PiquetPIQ,Williams Honda,40,1:21.981
8,2,Stefan JohanssonJOH,McLaren TAG,38,1:22.232
9,19,Teo FabiFAB,Benetton Ford,44,1:22.246
10,20,Thierry BoutsenBOU,Benetton Ford,45,1:22.769
11,3,Jonathan  PalmerPAL,Tyrrell Ford,59,1:23.197
12,29,Yannick DalmasDAL,Lola Ford,55,1:23.207
13,16,Ivan CapelliCAP,March Ford,55,1:23.296
14,18,Eddie  CheeverCHE,Arrows Megatron,18,1:23.390
15,25,Rene ArnouxARN,Ligier Megatron,30,1:23.999
16,10,Christian DannerDAN,Zakspeed,35,1:24.119
17,7,Stefano ModenaMOD,Brabham BMW,4,1:24.294
18,17,Derek WarwickWAR,Arrows Megatron,18,1:24.478
19,14,Roberto MorenoMOR,AGS Ford,62,1:24.488
20,30,Philippe AlliotALL,Lola Ford,39,1:24.834
21,11,Satoru NakajimaNAK,Lotus Honda,18,1:24.926
22,26,Piercarlo GhinzaniGHI,Ligier Megatron,24,1:25.196
23,9,Martin BrundleBRU,Zakspeed,11,1:25.554
24,4,Philippe StreiffSTR,Tyrrell Ford,6,1:26.823
25,23,Adrian CamposCAM,Minardi Motori Moderni,35,1:27.676
