Pos,No,Driver,Car,Lap,Time
1,1,Alain ProstPRO,McLaren TAG,35,1:43.844
2,28,Gerhard BergerBER,Ferrari,34,1:45.540
3,12,Ayrton SennaSEN,Lotus Honda,49,1:45.805
4,2,Stefan JohanssonJOH,McLaren TAG,34,1:46.323
5,27,Michele AlboretoALB,Ferrari,28,1:46.534
6,6,Nelson PiquetPIQ,Williams Honda,41,1:46.706
7,20,Thierry BoutsenBOU,Benetton Ford,41,1:47.182
8,18,Eddie  CheeverCHE,Arrows Megatron,41,1:47.421
9,11,Satoru NakajimaNAK,Lotus Honda,27,1:48.206
10,7,Riccardo PatresePAT,Brabham BMW,24,1:48.581
11,19,Teo FabiFAB,Benetton Ford,9,1:49.170
12,17,Derek WarwickWAR,Arrows Megatron,33,1:49.221
13,25,Rene ArnouxARN,Ligier Megatron,28,1:49.384
14,26,Piercarlo GhinzaniGHI,Ligier Megatron,29,1:49.915
15,3,Jonathan  PalmerPAL,Tyrrell Ford,34,1:50.111
16,9,Martin BrundleBRU,Zakspeed,28,1:50.367
17,8,Andrea de CesarisDEC,Brabham BMW,18,1:50.422
18,4,Philippe StreiffSTR,Tyrrell Ford,44,1:51.236
19,24,Alessandro NanniniNAN,Minardi Motori Moderni,32,1:51.848
20,21,Alex CaffiCAF,Osella Alfa Romeo,35,1:51.917
21,29,Yannick DalmasDAL,Lola Ford,40,1:52.080
22,16,Ivan CapelliCAP,March Ford,13,1:52.213
23,10,Christian DannerDAN,Zakspeed,7,1:52.813
24,14,Roberto MorenoMOR,AGS Ford,15,1:54.015
25,23,Adrian CamposCAM,Minardi Motori Moderni,2,1:59.121
