Pos,No,Driver,Car,Lap,Time
1,12,Ayrton SennaSEN,Lotus Honda,49,1:26.796
2,6,Nelson PiquetPIQ,Williams Honda,49,1:26.858
3,1,Alain ProstPRO,McLaren TAG,37,1:26.882
4,5,Nigel MansellMAN,Williams Honda,23,1:27.496
5,2,Stefan JohanssonJOH,McLaren TAG,42,1:28.468
6,28,Gerhard BergerBER,Ferrari,27,1:28.519
7,19,Teo FabiFAB,Benetton Ford,37,1:28.723
8,20,Thierry BoutsenBOU,Benetton Ford,26,1:28.725
9,27,Michele AlboretoALB,Ferrari,10,1:30.124
10,8,Andrea de CesarisDEC,Brabham BMW,4,1:31.279
11,25,Rene ArnouxARN,Ligier Megatron,40,1:31.335
12,7,Riccardo PatresePAT,Brabham BMW,4,1:31.497
13,10,Christian DannerDAN,Zakspeed,47,1:31.636
14,11,Satoru NakajimaNAK,Lotus Honda,37,1:31.849
15,26,Piercarlo GhinzaniGHI,Ligier Megatron,35,1:32.488
16,24,Alessandro NanniniNAN,Minardi Motori Moderni,40,1:32.588
17,9,Martin BrundleBRU,Zakspeed,24,1:32.663
18,18,Eddie  CheeverCHE,Arrows Megatron,18,1:32.820
19,17,Derek WarwickWAR,Arrows Megatron,7,1:33.180
20,23,Adrian CamposCAM,Minardi Motori Moderni,34,1:33.629
21,21,Alex CaffiCAF,Osella Alfa Romeo,15,1:34.187
22,4,Philippe StreiffSTR,Tyrrell Ford,32,1:34.722
23,30,Philippe AlliotALL,Lola Ford,36,1:34.912
24,3,Jonathan  PalmerPAL,Tyrrell Ford,37,1:35.154
25,16,Ivan CapelliCAP,March Ford,34,1:35.266
26,22,Franco ForiniFOR,Osella Alfa Romeo,26,1:37.964
