Pos,No,Driver,Car,Lap,Time
1,6,Nelson PiquetPIQ,Williams Honda,42,1:33.861
2,18,Eddie  CheeverCHE,Arrows Megatron,48,1:33.978
3,5,Nigel MansellMAN,Williams Honda,49,1:34.602
4,2,Stefan JohanssonJOH,McLaren TAG,43,1:35.299
5,12,Ayrton SennaSEN,Lotus Honda,48,1:35.312
6,20,Thierry BoutsenBOU,Benetton Ford,50,1:35.737
7,28,Gerhard BergerBER,Ferrari,54,1:35.769
8,27,Michele AlboretoALB,Ferrari,37,1:35.773
9,1,Alain ProstPRO,McLaren TAG,45,1:35.811
10,19,Teo FabiFAB,Benetton Ford,5,1:36.511
11,17,Derek WarwickWAR,Arrows Megatron,18,1:36.553
12,7,Riccardo PatresePAT,Brabham BMW,44,1:36.846
13,8,Andrea de CesarisDEC,Brabham BMW,19,1:38.194
14,11,Satoru NakajimaNAK,Lotus Honda,40,1:38.482
15,24,Alessandro NanniniNAN,Minardi Motori Moderni,16,1:39.108
16,10,Christian DannerDAN,Zakspeed,38,1:40.112
17,9,Martin BrundleBRU,Zakspeed,4,1:40.683
18,23,Adrian CamposCAM,Minardi Motori Moderni,2,1:40.714
19,3,Jonathan  PalmerPAL,Tyrrell Ford,26,1:41.495
20,4,Philippe StreiffSTR,Tyrrell Ford,23,1:43.049
21,14,Pascal FabreFAB,AGS Ford,27,1:43.129
22,21,Alex CaffiCAF,Osella Alfa Romeo,3,1:44.130
