Pos,No,Driver,Car,Lap,Time
1,6,Nelson PiquetPIQ,Williams Honda,63,1:30.149
2,5,Nigel MansellMAN,Williams Honda,65,1:30.298
3,1,Alain ProstPRO,McLaren TAG,57,1:31.602
4,12,Ayrton SennaSEN,Lotus Honda,43,1:32.426
5,20,Thierry BoutsenBOU,Benetton Ford,39,1:32.524
6,18,Eddie  CheeverCHE,Arrows Megatron,68,1:32.603
7,27,Michele AlboretoALB,Ferrari,39,1:32.679
8,28,Gerhard BergerBER,Ferrari,12,1:33.826
9,8,Andrea de CesarisDEC,Brabham BMW,34,1:34.039
10,17,Derek WarwickWAR,Arrows Megatron,53,1:34.163
11,7,Riccardo PatresePAT,Brabham BMW,42,1:34.387
12,24,Alessandro NanniniNAN,Minardi Motori Moderni,70,1:34.519
13,3,Jonathan  PalmerPAL,Tyrrell Ford,61,1:34.824
14,2,Stefan JohanssonJOH,McLaren TAG,14,1:34.843
15,16,Ivan CapelliCAP,March Ford,70,1:34.926
16,4,Philippe StreiffSTR,Tyrrell Ford,62,1:35.069
17,19,Teo FabiFAB,Benetton Ford,14,1:35.210
18,30,Philippe AlliotALL,Lola Ford,47,1:35.210
19,14,Pascal FabreFAB,AGS Ford,61,1:36.043
20,26,Piercarlo GhinzaniGHI,Ligier Megatron,53,1:36.045
21,9,Martin BrundleBRU,Zakspeed,41,1:36.195
22,21,Alex CaffiCAF,Osella Alfa Romeo,18,1:37.046
23,25,Rene ArnouxARN,Ligier Megatron,17,1:37.169
24,23,Adrian CamposCAM,Minardi Motori Moderni,13,1:39.486
25,10,Christian DannerDAN,Zakspeed,3,1:39.650
26,11,Satoru NakajimaNAK,Lotus Honda,1,2:30.651
