Pos,No,Driver,Car,Lap,Time
1,12,Ayrton SennaSEN,Lotus Honda,39,1:40.464
2,5,Nigel MansellMAN,Williams Honda,36,1:40.535
3,6,Nelson PiquetPIQ,Williams Honda,57,1:41.196
4,1,Alain ProstPRO,McLaren TAG,56,1:41.340
5,28,Gerhard BergerBER,Ferrari,46,1:42.238
6,20,Thierry BoutsenBOU,Benetton Ford,41,1:42.252
7,2,Stefan JohanssonJOH,McLaren TAG,53,1:42.332
8,18,Eddie  CheeverCHE,Arrows Megatron,35,1:43.951
9,3,Jonathan  PalmerPAL,Tyrrell Ford,41,1:44.048
10,7,Riccardo PatresePAT,Brabham BMW,46,1:44.255
11,27,Michele AlboretoALB,Ferrari,19,1:45.016
12,30,Philippe AlliotALL,Lola Ford,33,1:45.869
13,4,Philippe StreiffSTR,Tyrrell Ford,35,1:46.048
14,25,Rene ArnouxARN,Ligier Megatron,38,1:46.937
15,24,Alessandro NanniniNAN,Minardi Motori Moderni,13,1:47.069
16,17,Derek WarwickWAR,Arrows Megatron,11,1:47.260
17,26,Piercarlo GhinzaniGHI,Ligier Megatron,21,1:47.477
18,10,Christian DannerDAN,Zakspeed,38,1:47.532
19,19,Teo FabiFAB,Benetton Ford,4,1:48.325
20,9,Martin BrundleBRU,Zakspeed,14,1:48.744
21,16,Ivan CapelliCAP,March Ford,5,1:49.341
22,14,Pascal FabreFAB,AGS Ford,32,1:50.309
23,21,Alex CaffiCAF,Osella Alfa Romeo,2,1:53.496
24,8,Andrea de CesarisDEC,Brabham BMW,2,1:53.860
25,23,Adrian CamposCAM,Minardi Motori Moderni,1,2:16.237
