Pos,No,Driver,Car,Lap,Time
1,28,Gerhard BergerBER,Ferrari,49,1:26.986
2,6,Nelson PiquetPIQ,Williams Honda,49,1:27.108
3,7,Riccardo PatresePAT,Brabham BMW,67,1:27.150
4,1,Alain ProstPRO,McLaren TAG,30,1:27.459
5,27,Michele AlboretoALB,Ferrari,54,1:27.738
6,2,Stefan JohanssonJOH,McLaren TAG,59,1:28.133
7,20,Thierry BoutsenBOU,Benetton Ford,65,1:28.299
8,5,Nigel MansellMAN,Williams Honda,45,1:28.444
9,19,Teo FabiFAB,Benetton Ford,32,1:29.319
10,18,Eddie  CheeverCHE,Arrows Megatron,46,1:29.934
11,12,Ayrton SennaSEN,Lotus Honda,20,1:30.088
12,30,Philippe AlliotALL,Lola Ford,50,1:30.365
13,16,Ivan CapelliCAP,March Ford,61,1:30.407
14,3,Jonathan  PalmerPAL,Tyrrell Ford,50,1:30.514
15,8,Andrea de CesarisDEC,Brabham BMW,23,1:30.670
16,24,Alessandro NanniniNAN,Minardi Motori Moderni,19,1:30.722
17,17,Derek WarwickWAR,Arrows Megatron,41,1:31.105
18,11,Satoru NakajimaNAK,Lotus Honda,42,1:31.228
19,4,Philippe StreiffSTR,Tyrrell Ford,50,1:31.279
20,9,Martin BrundleBRU,Zakspeed,44,1:31.373
21,10,Christian DannerDAN,Zakspeed,19,1:32.074
22,26,Piercarlo GhinzaniGHI,Ligier Megatron,20,1:32.604
23,25,Rene ArnouxARN,Ligier Megatron,50,1:32.650
24,32,Nicola LariniLAR,Coloni Ford,7,1:33.108
25,23,Adrian CamposCAM,Minardi Motori Moderni,31,1:33.503
26,14,Pascal FabreFAB,AGS Ford,3,1:35.672
