Pos,No,Driver,Car,Lap,Time
1,12,Ayrton SennaSEN,Lotus Honda,72,1:27.685
2,5,Nigel MansellMAN,Williams Honda,26,1:28.049
3,6,Nelson PiquetPIQ,Williams Honda,49,1:28.642
4,1,Alain ProstPRO,McLaren TAG,39,1:28.891
5,27,Michele AlboretoALB,Ferrari,58,1:28.914
6,17,Derek WarwickWAR,Arrows Megatron,57,1:29.048
7,28,Gerhard BergerBER,Ferrari,51,1:29.220
8,2,Stefan JohanssonJOH,McLaren TAG,38,1:29.758
9,18,Eddie  CheeverCHE,Arrows Megatron,21,1:29.905
10,7,Riccardo PatresePAT,Brabham BMW,39,1:30.077
11,16,Ivan CapelliCAP,March Ford,48,1:30.502
12,3,Jonathan  PalmerPAL,Tyrrell Ford,20,1:30.817
13,19,Teo FabiFAB,Benetton Ford,22,1:31.207
14,30,Philippe AlliotALL,Lola Ford,19,1:31.271
15,20,Thierry BoutsenBOU,Benetton Ford,4,1:31.300
16,24,Alessandro NanniniNAN,Minardi Motori Moderni,10,1:31.393
17,21,Alex CaffiCAF,Osella Alfa Romeo,16,1:31.474
18,8,Andrea de CesarisDEC,Brabham BMW,16,1:31.511
19,9,Martin BrundleBRU,Zakspeed,44,1:31.619
20,11,Satoru NakajimaNAK,Lotus Honda,61,1:32.265
21,26,Piercarlo GhinzaniGHI,Ligier Megatron,47,1:32.389
22,25,Rene ArnouxARN,Ligier Megatron,47,1:32.417
23,4,Philippe StreiffSTR,Tyrrell Ford,8,1:32.715
24,14,Pascal FabreFAB,AGS Ford,8,1:35.699
