Pos,No,Driver,Car,Lap,Time
1,6,Nelson PiquetPIQ,Williams Honda,68,1:09.548
2,5,Nigel MansellMAN,Williams Honda,42,1:10.405
3,1,Alain ProstPRO,McLaren TAG,44,1:11.324
4,28,Gerhard BergerBER,Ferrari,42,1:11.675
5,2,Stefan JohanssonJOH,McLaren TAG,39,1:11.874
6,19,Teo FabiFAB,Benetton Ford,57,1:12.101
7,12,Ayrton SennaSEN,Lotus Honda,47,1:12.231
8,27,Michele AlboretoALB,Ferrari,57,1:12.457
9,20,Thierry BoutsenBOU,Benetton Ford,5,1:12.567
10,17,Derek WarwickWAR,Arrows Megatron,45,1:13.245
11,25,Rene ArnouxARN,Ligier Megatron,5,1:13.845
12,7,Riccardo PatresePAT,Brabham BMW,5,1:13.984
13,8,Andrea de CesarisDEC,Brabham BMW,2,1:14.098
14,24,Alessandro NanniniNAN,Minardi Motori Moderni,7,1:14.248
15,11,Satoru NakajimaNAK,Lotus Honda,36,1:14.524
16,26,Piercarlo GhinzaniGHI,Ligier Megatron,6,1:15.367
17,9,Martin BrundleBRU,Zakspeed,7,1:15.549
18,30,Philippe AlliotALL,Lola Ford,41,1:15.984
19,10,Christian DannerDAN,Zakspeed,3,1:16.133
20,3,Jonathan  PalmerPAL,Tyrrell Ford,47,1:16.256
21,16,Ivan CapelliCAP,March Ford,5,1:16.290
22,4,Philippe StreiffSTR,Tyrrell Ford,56,1:16.433
23,14,Pascal FabreFAB,AGS Ford,3,1:17.499
24,23,Adrian CamposCAM,Minardi Motori Moderni,22,1:17.836
25,21,Alex CaffiCAF,Osella Alfa Romeo,3,1:19.147
