Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Honda,31,1:28.318
2,6,Nelson PiquetPIQ,Williams Honda,27,1:28.358
3,12,Ayrton SennaSEN,Lotus Honda,48,1:28.559
4,20,Thierry BoutsenBOU,Benetton Ford,18,1:29.111
5,2,Stefan JohanssonJOH,McLaren TAG,50,1:29.238
6,1,Alain ProstPRO,McLaren TAG,32,1:29.291
7,19,Teo FabiFAB,Benetton Ford,41,1:29.559
8,27,Michele AlboretoALB,Ferrari,29,1:30.148
9,28,Gerhard BergerBER,Ferrari,5,1:30.343
10,7,Riccardo PatresePAT,Brabham BMW,30,1:30.629
11,11,Satoru NakajimaNAK,Lotus Honda,40,1:31.685
12,17,Derek WarwickWAR,Arrows Megatron,31,1:31.783
13,18,Eddie  CheeverCHE,Arrows Megatron,30,1:31.814
14,8,Andrea de CesarisDEC,Brabham BMW,31,1:31.960
15,10,Christian DannerDAN,Zakspeed,28,1:32.817
16,26,Piercarlo GhinzaniGHI,Ligier Megatron,14,1:34.372
17,25,Rene ArnouxARN,Ligier Megatron,9,1:34.785
18,9,Martin BrundleBRU,Zakspeed,3,1:35.615
19,16,Ivan CapelliCAP,March Ford,42,1:35.616
20,30,Philippe AlliotALL,Lola Ford,41,1:36.027
21,23,Adrian CamposCAM,Minardi Motori Moderni,3,1:37.854
22,3,Jonathan  PalmerPAL,Tyrrell Ford,17,1:38.245
23,14,Pascal FabreFAB,AGS Ford,26,1:42.844
24,24,Alessandro NanniniNAN,Minardi Motori Moderni,1,2:06.843
